source,target,mirtarbase,correlation,qvalue
hsa-miR-22-3p,RPS3,,-0.816,0.0
hsa-miR-452-5p,RPA1,,-0.81,0.0
hsa-miR-141-3p,TRHDE,,-0.807,0.0
hsa-miR-22-3p,RPL14,,-0.804,0.0
hsa-miR-22-3p,LRRC1,MIRT030660,-0.8,0.0
hsa-miR-141-3p,FZD4,,-0.799,0.0
hsa-miR-22-3p,RAB5B,MIRT030657,-0.795,0.0
hsa-miR-200a-3p,FZD4,,-0.793,0.0
hsa-miR-22-3p,KAT7,,-0.791,0.0
hsa-miR-224-5p,SLC35C2,,-0.784,0.0
hsa-miR-22-3p,CADM1,,-0.782,0.0
hsa-miR-200a-3p,TRHDE,,-0.78,0.0
hsa-miR-452-5p,ZBTB7C,,-0.778,0.0
hsa-miR-141-3p,NRP1,,-0.776,0.0
hsa-miR-486-5p,CCDC85C,,-0.772,0.0
hsa-miR-141-3p,HCAR2,,-0.77,0.0
hsa-miR-22-3p,EDC3,MIRT030653,-0.769,0.0
hsa-miR-200a-3p,NRP1,,-0.767,0.0
hsa-miR-378a-3p,LAS1L,,-0.766,0.0
hsa-miR-141-3p,GNAI1,,-0.763,0.0
hsa-miR-181c-5p,EMX2,,-0.762,0.0
hsa-miR-141-3p,ITSN1,,-0.761,0.0
hsa-miR-378a-3p,RCC2,MIRT712249,-0.759,0.0
hsa-miR-378a-3p,HNRNPA1,,-0.759,0.0
hsa-miR-452-5p,DAG1,,-0.759,0.0
hsa-miR-22-3p,PRPF38A,,-0.757,0.0
hsa-miR-224-5p,PAK4,,-0.756,0.0
hsa-miR-141-3p,ACO1,,-0.756,0.0
hsa-miR-200b-3p,NOVA2,,-0.756,0.0
hsa-miR-452-5p,IL20RA,,-0.755,0.0
hsa-miR-200b-3p,DMRT2,,-0.753,0.0
hsa-miR-22-3p,ZNF740,,-0.752,0.0
hsa-miR-22-3p,AK2,,-0.751,0.0
hsa-miR-139-5p,STRBP,,-0.751,0.0
hsa-miR-141-3p,PLXNA4,,-0.75,0.0
hsa-miR-378a-3p,PITPNA,,-0.75,0.0
hsa-miR-22-3p,WRNIP1,,-0.747,0.0
hsa-miR-135b-5p,GHR,,-0.747,0.0
hsa-miR-200c-3p,CRTAP,,-0.746,0.0
hsa-miR-200b-3p,ZFPM2,MIRT004623,-0.745,0.0
hsa-miR-378a-3p,GOLT1A,MIRT734396,-0.743,0.0
hsa-miR-22-3p,ASB6,,-0.739,0.0
hsa-miR-22-3p,RAPGEFL1,,-0.738,0.0
hsa-miR-22-3p,TP53,,-0.737,0.0
hsa-miR-486-5p,RAPGEFL1,,-0.731,0.0
hsa-miR-139-5p,PITPNA,,-0.73,0.0
hsa-miR-200b-3p,CELF2,,-0.73,0.0
hsa-miR-200c-3p,JCAD,,-0.729,0.0
hsa-miR-145-5p,ABRACL,MIRT021534,-0.727,0.0
hsa-miR-200a-3p,ZEB2,MIRT001035,-0.727,0.0
hsa-miR-22-3p,PADI2,,-0.727,0.0
hsa-miR-224-5p,GPN1,,-0.724,0.0
hsa-miR-200b-3p,ZEB1,MIRT002483,-0.724,0.0
hsa-miR-200c-3p,NEGR1,,-0.723,0.0
hsa-miR-200a-3p,ITSN1,,-0.723,0.0
hsa-miR-141-3p,YWHAG,MIRT006730,-0.722,0.0
hsa-miR-224-5p,SPPL3,,-0.722,0.0
hsa-miR-378a-3p,UMPS,,-0.722,0.0
hsa-miR-139-5p,NOL7,,-0.721,0.0
hsa-miR-200b-3p,NEGR1,,-0.721,0.0
hsa-miR-224-5p,TMEM108,,-0.72,0.0
hsa-miR-200a-3p,GNAI1,,-0.72,0.0
hsa-miR-22-3p,NHP2,,-0.72,0.0
hsa-miR-22-3p,WARS2,,-0.717,0.0
hsa-miR-224-5p,TMEM201,,-0.717,0.0
hsa-miR-22-3p,SCYL3,,-0.716,0.0
hsa-miR-200c-3p,NOVA2,,-0.716,0.0
hsa-miR-22-3p,ETV1,,-0.715,0.0
hsa-miR-486-5p,CAPRIN1,,-0.715,0.0
hsa-miR-486-5p,ZNF207,,-0.715,0.0
hsa-miR-378a-3p,XPO5,,-0.713,0.0
hsa-miR-200c-3p,CELF2,,-0.711,0.0
hsa-miR-452-5p,HMGB3,,-0.711,0.0
hsa-miR-185-5p,NCOA2,,-0.711,0.0
hsa-miR-224-5p,GABRP,,-0.71,0.0
hsa-miR-224-5p,PSPC1,,-0.709,0.0
hsa-miR-185-5p,MDM4,,-0.708,0.0
hsa-miR-200c-3p,CFL2,MIRT054101,-0.707,0.0
hsa-miR-185-5p,CFAP44,,-0.707,0.0
hsa-miR-200c-3p,ZEB1,MIRT002286,-0.706,0.0
hsa-miR-224-5p,F2RL1,,-0.705,0.0
hsa-miR-365a-3p,PPP5C,,-0.703,0.0
hsa-miR-365b-3p,PPP5C,,-0.703,0.0
hsa-miR-139-5p,SMARCA4,MIRT731821,-0.703,0.0
hsa-miR-22-3p,IL17RD,,-0.701,0.0
hsa-miR-224-5p,CHEK1,,-0.701,0.0
hsa-miR-224-5p,CCDC71,,-0.698,0.0
hsa-miR-22-3p,ZNF652,,-0.698,0.0
hsa-miR-378a-3p,FAM83F,,-0.697,0.0
hsa-miR-22-3p,SRRD,,-0.697,0.0
hsa-miR-378a-3p,UCK2,,-0.697,0.0
hsa-miR-452-5p,TMEM229B,,-0.697,0.0
hsa-miR-22-3p,HNRNPUL2,,-0.697,0.0
hsa-miR-185-5p,LZIC,,-0.696,0.0
hsa-miR-22-3p,CCDC47,,-0.695,0.0
hsa-miR-185-5p,PPIP5K2,,-0.694,0.0
hsa-miR-20b-5p,LRATD2,,-0.694,0.0
hsa-miR-429,ZFPM2,MIRT004625,-0.694,0.0
hsa-miR-200b-3p,SLC4A4,,-0.693,0.0
hsa-miR-486-5p,TET3,,-0.693,0.0
hsa-miR-224-5p,PCYT1B,,-0.692,0.0
hsa-miR-22-3p,UNK,,-0.69,0.0
hsa-miR-20b-5p,MYCL,,-0.69,0.0
hsa-miR-185-5p,ZNF280C,,-0.69,0.0
hsa-miR-185-5p,HP1BP3,,-0.69,0.0
hsa-miR-365a-3p,SNX12,,-0.69,0.0
hsa-miR-378a-3p,DENND2B,,-0.69,0.0
hsa-miR-365b-3p,SNX12,,-0.69,0.0
hsa-miR-452-5p,TMBIM6,,-0.689,0.0
hsa-miR-200c-3p,SLC4A4,,-0.689,0.0
hsa-miR-22-3p,CUL3,,-0.687,0.0
hsa-miR-185-5p,SPIN3,,-0.687,0.0
hsa-miR-378a-3p,TMCO1,,-0.686,0.0
hsa-miR-193b-3p,CLSTN1,MIRT016329,-0.685,0.0
hsa-miR-22-3p,SMG7,,-0.684,0.0
hsa-miR-20b-5p,TRIM32,MIRT227331,-0.684,0.0
hsa-miR-22-3p,EMILIN3,,-0.683,0.0
hsa-miR-22-3p,NOP9,,-0.683,0.0
hsa-miR-22-3p,RCC2,MIRT700249,-0.682,0.0
hsa-miR-486-5p,DNAJC21,,-0.682,0.0
hsa-miR-452-5p,PRMT7,,-0.681,0.0
hsa-miR-486-5p,BTBD3,,-0.681,0.0
hsa-miR-185-5p,CREBRF,,-0.68,0.0
hsa-miR-200b-3p,YWHAG,,-0.679,0.0
hsa-miR-139-5p,HMGCR,,-0.678,0.0
hsa-miR-22-3p,MYCL,,-0.678,0.0
hsa-miR-185-5p,LCOR,,-0.677,0.0
hsa-miR-200b-3p,GPC6,,-0.677,0.0
hsa-miR-22-3p,VEZF1,,-0.676,0.0
hsa-miR-135b-5p,FOXN3,,-0.676,0.0
hsa-miR-486-5p,ZNF740,,-0.675,0.0
hsa-miR-224-5p,NAP1L1,,-0.675,0.0
hsa-miR-486-5p,CTDSPL2,,-0.675,0.0
hsa-miR-139-5p,GDI2,,-0.675,0.0
hsa-miR-200a-3p,YWHAG,,-0.674,0.0
hsa-miR-139-5p,MEX3A,,-0.673,0.0
hsa-miR-429,CHRDL1,,-0.673,0.0
hsa-miR-200c-3p,ZNF423,,-0.673,0.0
hsa-miR-141-3p,ANO6,,-0.672,0.0
hsa-miR-224-5p,TPD52,MIRT437894,-0.672,0.0
hsa-miR-139-5p,LARP4B,,-0.672,0.0
hsa-miR-22-3p,STK26,,-0.672,0.0
hsa-miR-224-5p,MARCHF9,,-0.671,0.0
hsa-miR-141-3p,TMEM170B,,-0.67,0.0
hsa-miR-135b-5p,C2CD2,,-0.67,0.0
hsa-miR-486-5p,FAM83G,,-0.669,0.0
hsa-miR-135b-5p,EBF1,,-0.669,0.0
hsa-miR-429,PLXNA4,,-0.668,0.0
hsa-miR-378a-3p,GRSF1,,-0.667,0.0
hsa-miR-200b-3p,ZNF423,,-0.666,0.0
hsa-miR-141-3p,GPC6,,-0.664,0.0
hsa-miR-185-5p,PLEKHA1,,-0.664,0.0
hsa-miR-139-5p,RUNX1,,-0.664,0.0
hsa-miR-486-5p,COPS7B,,-0.664,0.0
hsa-miR-193b-3p,SKP1,,-0.664,0.0
hsa-miR-141-3p,SOX5,,-0.663,0.0
hsa-miR-185-5p,LRCH3,,-0.663,0.0
hsa-miR-224-5p,SMARCD1,,-0.662,0.0
hsa-miR-652-3p,SLC35C2,,-0.662,0.0
hsa-miR-22-3p,CSRNP3,,-0.662,0.0
hsa-miR-185-5p,MRRF,,-0.662,0.0
hsa-miR-185-5p,TTC5,,-0.662,0.0
hsa-miR-22-3p,GPR107,,-0.662,0.0
hsa-miR-22-3p,CCDC149,,-0.662,0.0
hsa-miR-486-5p,MTA3,,-0.661,0.0
hsa-miR-22-3p,WDTC1,,-0.661,0.0
hsa-let-7b-5p,FZD4,,-0.66,0.0
hsa-miR-486-5p,ARID4B,,-0.66,0.0
hsa-miR-20b-5p,USP3,MIRT072575,-0.659,0.0
hsa-miR-22-3p,NFYA,,-0.658,0.0
hsa-miR-200b-3p,SIK2,,-0.658,0.0
hsa-miR-224-5p,ZNF710,,-0.658,0.0
hsa-miR-200c-3p,ERG,,-0.658,0.0
hsa-miR-93-5p,TMEM50B,,-0.658,0.0
hsa-miR-139-5p,HNRNPF,MIRT475568,-0.657,0.0
hsa-miR-378a-3p,SARM1,,-0.657,0.0
hsa-miR-22-3p,TTC9,,-0.657,0.0
hsa-miR-652-3p,UBE2I,MIRT753413,-0.656,0.0
hsa-miR-20b-5p,CRIPT,,-0.656,0.0
hsa-miR-22-3p,MSL2,,-0.656,0.0
hsa-miR-200c-3p,OSTM1,MIRT763673,-0.656,0.0
hsa-miR-193b-3p,ANAPC15,,-0.654,0.0
hsa-miR-139-5p,DYNLL2,,-0.654,0.0
hsa-miR-139-5p,TGIF1,,-0.654,0.0
hsa-miR-452-5p,ST8SIA2,,-0.654,0.0
hsa-miR-196a-5p,HOXC8,MIRT002942,-0.653,0.0
hsa-miR-139-5p,MYBL1,,-0.653,0.0
hsa-miR-141-3p,EIF4EBP2,,-0.653,0.0
hsa-miR-224-5p,OCLN,,-0.652,0.0
hsa-miR-185-5p,KCNAB3,,-0.652,0.0
hsa-miR-141-3p,CYP26B1,,-0.652,0.0
hsa-miR-22-3p,AGO1,,-0.652,0.0
hsa-miR-193b-3p,FAM83F,,-0.651,0.0
hsa-miR-193b-3p,PAK4,,-0.651,0.0
hsa-miR-224-5p,USP3,,-0.651,0.0
hsa-miR-22-3p,H3-3B,MIRT030659,-0.651,0.0
hsa-miR-20b-5p,TMEM50B,,-0.65,0.0
hsa-miR-21-5p,PDZD2,,-0.65,0.0
hsa-miR-378a-3p,PRIM2,,-0.65,0.0
hsa-miR-193b-3p,ETV6,,-0.65,0.0
hsa-miR-200c-3p,NR5A2,,-0.65,0.0
hsa-miR-22-3p,ITGA10,,-0.65,0.0
hsa-miR-378a-3p,PLAGL2,,-0.649,0.0
hsa-let-7b-5p,ACER3,,-0.649,0.0
hsa-miR-429,GJC1,,-0.649,0.0
hsa-miR-21-5p,SOX5,MIRT000960,-0.649,0.0
hsa-miR-22-3p,QSOX1,,-0.649,0.0
hsa-miR-22-3p,RSBN1,,-0.649,0.0
hsa-miR-223-3p,AKAP1,,-0.646,0.0
hsa-miR-145-5p,TPM3,MIRT021512,-0.646,0.0
hsa-miR-452-5p,TRIM24,,-0.645,0.0
hsa-miR-200a-3p,CYP26B1,,-0.645,0.0
hsa-miR-20b-5p,RIMKLA,,-0.645,0.0
hsa-miR-185-5p,SYNGAP1,,-0.644,0.0
hsa-miR-486-5p,HAT1,MIRT735253,-0.644,0.0
