miRNA_region_id,8ca0e4c1-92ab-4653-87e0-cdcc630d8db6,acad335c-080a-442e-84d8-235fa3116bc6,3b8748ee-d541-4219-ba20-437311ae376a,af1bb8e0-9d0f-4e54-9ca4-9b311129a412,600fc778-f0e3-4362-ad0c-cdb64fc76e7b,cd746011-8fd7-473d-84e7-f39ec60b6717,7c3c4540-a63e-4737-a23d-a9c999c53f39,12c76136-cc83-42c0-886b-4b4ea167a0d7,308d2039-4905-49de-861a-c70f97669068,ea6c109d-9823-4fa7-987d-78f2ed377312,485f30ed-85f1-4402-ad3e-8e1ff3a75a36,5e01bf11-33c4-4d86-a97e-54ef83a86a04,15a6e18f-00b4-4369-8588-294605e0e952,80a3007d-3d24-48c8-bdb4-38605dcd408f,f52a43ab-8cf4-4611-a13a-195778748214,3e75bf39-6c1e-460b-956e-3e999daa919c,1f7bbed4-631f-4f97-84a7-9f9bd9eba94c,afd9ffe6-e019-4ea3-ab5f-41a57f9db4de,3f5ad0e5-ab95-4c1e-8dfe-09cab1d1500c,5074a94f-c14e-441f-b006-cd8895a550e5,c786cbe6-bedd-4ff1-9c19-8026aaabc738,1c73346e-7c14-4b9e-b43d-4478181e0a4a,29cea98e-c370-473d-af6d-393e87c1bd31,27c8aced-b610-4c85-b7ed-3b111b55ef79,03589e93-5465-4e5b-91aa-be97a386e097,c42db931-0c5e-42bc-9590-2edbe16d7e56,3ef8d2e0-14fe-438a-bbcd-d0382a4085de,cea36b7b-8225-4b98-8371-66ee50eb0641,7734be37-d611-4651-83e4-7a9e78daf8a2,8790fe0b-8d3a-4f2c-8201-1231da243697,3a587350-9c2f-43ea-a607-1eec5356f34b,485f5497-8ed6-4c98-a733-710988850a13,9b71b456-248a-4ec9-8fd3-bc0c1ea2d852,4be7af1f-00a3-400a-9584-04756550a692,268512d6-01f2-4afa-bfbc-55698afe6a1f,bf370830-8f1c-4ca5-a838-aba83f5a964f,4ebd02b1-6eb1-4923-ad2f-5f4f107e6622,42a6d971-d671-4860-835f-15d184d416b0,3f0c486c-70c8-4537-a4cc-1ea2e302706d,64efe402-841b-49bc-a370-02a24880dd19,ef076f15-36a4-4e8a-a624-8cdeb9c4fa2d,38a63af6-4f43-4eea-aff2-a42b4118482a,f041b9ca-ace6-4425-a928-1ffbf2737243,f3533714-4d93-4e83-9f58-3c9dda0effba,8e5ae73e-8a65-4060-874e-9c0ab8311fcb,8c9b3702-7326-45fc-8457-168dd4921afb,85fb34fe-c751-4806-87a9-419e9ed39dfc,c5b7ba42-889d-4b7a-a810-298ae179e9c2,6c67482e-8a8a-4a5c-b8be-d573afb35d54,803da4bd-a731-423b-b689-9c876dec117f,5ec7ec6c-20c8-48af-964c-54125c9313c2,d4a3af62-0505-49f6-9f34-168bec5cb0d0,86723871-7176-4e6c-b9b2-dcf4acf99075,84d88e83-f246-45c8-a27c-5f146cb5a4b4,7e17b2bf-91b2-4ea2-acc1-59e1537913ce,82bf32b4-0410-4426-9591-33210d995b98,non_zero_samples,%_non_zero_samples
MIMAT0000062,53887.870976000006,25842.161047,34075.216144,46617.071136,24971.735995,67300.753721,42774.191206,26241.464915,46630.518467,49237.504237,69339.468378,74507.471066,69883.414205,57937.679212999996,36372.495345,40852.27035,33962.955381,57772.052943,53976.388945,26148.132014,68632.648873,59884.351813,35655.250612,43694.341296,27341.392529,25203.967104,45380.824626,55732.567177000004,49772.251876,39414.822014,52308.659185,40962.423188,38876.296528,33168.369120999996,50462.666576999996,59193.308785,30125.815394,30814.188321,28363.357614,60950.731706,33580.992506,36874.805784000004,20024.823655,34974.271019,75542.717038,95882.340547,29467.186554,40309.758235,31224.191645,36894.231078,37344.459135,32673.221604,72982.2341,28001.19711,56803.204359,36484.025999,56,100.0
MIMAT0000063,28167.720543000003,42691.911726000006,53581.654337,33649.60664,34456.836668,51189.705383,27989.287844000002,65323.34272,42494.692747,24960.587425,40896.129336,37692.858413,67042.0434,43292.98054899999,69094.960988,33835.964862999994,27987.030657,26368.317444,57018.620693,42168.501457,38061.511504,38190.612457,44664.690374,28704.015104,48491.499709,47420.246979999996,67871.429795,44530.70709,29968.296172000002,23329.937897,22513.920049,30188.380896000002,34126.342221,59749.001315,33894.608047,35355.458365,52526.752577,31762.103181,37502.331504,39626.374016999995,65878.723103,17894.759551,41622.626470999996,36848.376434,55313.546721,59430.771372,61389.499469,43015.427585,59460.454579000005,28213.942181,29805.432428999997,60758.814709,44608.604379,20595.921839000002,38314.543058,35428.216552,56,100.0
MIMAT0000064,8341.943452000001,6722.814362,8832.991707,7187.986934,5852.691852000001,12929.851656,7847.746337,8326.475477,10110.721933,4343.763557,11802.891345,8425.453399,12070.790488,9521.240079,11244.708977,9575.710562,7009.942177000001,7550.3092750000005,11241.112678000001,8707.564106,8255.419359,9956.07735,8418.600839,10368.956199999999,10223.040710000001,8890.918310000001,15259.746296,1470.875027,9899.650564,6890.7688,7562.492038,6706.549924,8818.789975,11220.201019,9827.255078,8838.073816,8758.645939,7245.487593999999,9443.093941000001,9332.522029,12384.688021,5126.462866,5854.780079,5933.630912,9582.377434,12405.59566,4913.654776,8304.227628,13173.095575000001,8411.282316,6690.697156,11308.335523,10764.227956,4542.517238,9781.619335,6845.748479999999,56,100.0
MIMAT0000065,282.411933,97.944684,104.658318,177.91697499999998,299.83493300000004,242.132054,82.831726,90.317184,229.3978,268.652332,109.187006,187.754912,225.03156800000002,115.337501,178.185105,130.635976,74.18486299999999,295.165105,160.425616,112.819504,119.76652800000001,157.130682,132.056484,160.259272,117.337626,124.414967,160.205734,203.944856,169.426362,145.271669,241.524284,202.499621,133.524064,153.984662,117.02185999999999,179.50545499999998,183.305348,132.151653,85.830004,158.75690699999998,139.740651,250.76189399999998,187.780429,142.55636,127.22564299999999,260.109942,128.142856,212.87557700000002,159.155601,120.988607,119.56956799999999,121.484239,326.019688,183.75940599999998,155.60897,132.82682699999998,56,100.0
MIMAT0000066,1904.7881459999999,751.453391,912.9949039999999,1634.435688,1196.115687,1574.755134,705.74869,684.10461,1982.930139,1602.9431829999999,1660.189649,1403.728189,1202.2519829999999,1313.5819529999999,648.225121,997.3854079999999,859.981873,1848.128043,829.451178,530.362272,1743.625426,890.561252,818.522516,854.370923,823.088938,716.68206,1090.23903,1290.964076,811.446768,736.240762,2283.4161000000004,1718.434276,1096.283618,650.280533,1335.42596,1875.318037,923.040132,745.216085,763.758936,1203.951691,815.269088,1505.91953,775.039552,779.84102,1651.295034,1276.736828,696.2806449999999,1120.54374,730.452959,846.4912029999999,819.027915,699.7776319999999,1975.952021,930.615577,861.356363,1160.407424,56,100.0
MIMAT0000067,13682.054671,3434.593627,3349.066117,12242.382226,3288.512135,11593.043577999999,7788.420908,2742.663774,8073.91386,17831.621556,16179.076639,22906.099027,12195.113483000001,14070.024529000002,3891.1940329999998,6727.596861,5700.632081,12715.346368999999,9472.917935,2565.537627,16648.424172,11596.70654,4328.265098,6816.326564,2755.708668,3086.614415,8630.108952999999,10537.150921,11273.679742,10442.018696000001,20901.018355,9754.044206999999,6310.288765,3515.059851,12307.086017,15010.847419,3146.431662,3809.544629,4128.038897,15260.168973,3443.015906,11919.953034,2235.554008,7423.145028,15452.052641,20825.510186,2147.0543230000003,4434.32997,3698.190289,7308.2266230000005,5728.941935,3092.875056,15202.992196000001,5422.427419,12099.373979,6210.347286000001,56,100.0
MIMAT0000068,112.50556699999999,50.604753,91.044225,84.016349,174.097703,37.067130000000006,58.206077,63.894602,99.424228,173.750541,32.830717,95.226822,50.007015,29.625342,63.286434,80.439336,60.121381,75.376291,55.81718600000001,59.727973,29.211347,67.011614,58.059316,58.770363,36.668008,41.903653999999996,44.401589,227.292079,74.473125,63.494588,132.775129,110.62478999999999,71.139869,58.713575999999996,33.127511999999996,84.217318,64.668638,66.075828,54.316302,46.055758,61.914793,149.64822800000002,127.222513,77.273542,51.300661999999996,51.060314,65.77244,63.793331,46.321407,76.368695,84.596651,38.718661,109.396339,146.397535,64.389919,112.159275,56,100.0
MIMAT0000069,996.018675,385.793231,254.413305,672.836809,4083.2359,315.070599,147.194217,490.499164,959.804844,1381.977816,177.335619,646.154477,359.425419,188.394172,1215.959733,186.44466,127.274503,602.658111,354.029283,532.574421,174.683864,254.181986,204.915235,198.835417,336.482897,456.62021,639.022874,677.756137,217.523592,397.273542,964.832612,806.8734820000001,232.02542300000002,683.145364,215.974165,801.84376,496.878458,155.00494600000002,296.68998700000003,337.019775,450.352294,1176.288988,3416.6878239999996,301.100353,224.843477,415.580583,478.929201,239.918403,338.502587,134.288774,260.87906,425.19483599999995,676.521845,622.570765,263.772738,546.429907,56,100.0
MIMAT0000070,282.411935,98.488821,548.818001,157.442402,343.896694,159.029943,166.78279799999999,100.405805,289.941047,336.169525,106.69982999999999,263.70504700000004,218.780691,153.016336,165.896477,130.012414,149.776073,206.404236,234.197981,123.32720499999999,98.73435599999999,275.440843,244.759863,226.278845,100.082093,161.566661,123.004402,275.35989,204.490792,120.071483,219.395095,187.81214599999998,185.32847900000002,173.18658399999998,101.103447,205.99634999999998,154.925587,174.877376,89.929349,185.84852600000002,131.78512,251.435985,309.914041,213.612491,143.935004,239.96058,189.75726699999998,226.050286,167.469701,170.75696899999997,208.89228999999997,120.063369,267.137805,361.800156,181.026044,205.667344,56,100.0
MIMAT0000071,80.36112,98.48882300000001,331.843441,86.84042799999999,88.66086800000001,73.53640200000001,183.01333900000003,134.995363,48.878950999999994,144.005204,108.19213500000001,185.056174,106.264908,130.293985,129.337809,118.476541,97.389606,86.295289,164.719246,109.501283,82.66811700000001,178.38954,147.994336,128.414539,69.022133,141.69482499999998,87.60313500000001,122.91626,132.810408,85.73005,77.136028,84.99984,118.566448,115.211544,62.813204999999996,64.447992,135.850665,108.304739,72.25093,113.24298,84.397819,68.083202,89.05575900000001,198.068961,141.589828,176.306915,136.458912,105.397679,138.964221,151.450276,114.843499,131.785533,123.032145,117.804267,140.923549,100.565281,56,100.0
