mirna,2c658173-1941-45fe-baf5-ab67dfbcdfff,9c6e6db1-4096-47e2-9b77-abd2b4c7d180,ed3fd3e3-1b78-4a4f-8419-f4111c8c5c73,70c76e2f-3ce4-4864-8935-eaa51605612a,c1c6a9a5-73f2-414a-896d-4d3e564f6e59,133ae78e-fd83-4a13-9de6-28dbbe8e37c7,1540ed84-19b0-49d5-a728-3b04a29abe8a,5f2f42c5-e9d1-4a47-86a7-fd19308eca52,f1394f51-c3ab-45e8-87a2-fe641f00518e,2bb3034f-d37a-4eb4-b633-a3952ab947dd,44326a5f-517c-4e99-a8ac-eea1bdf44eeb,8da07768-f3a7-4529-b042-bf2648999e91,09ace4e7-5c45-4492-b97c-46aa467820aa,a9b9b321-f00e-4cdc-8b8c-92a377f89572,fdca715e-de7b-45e6-8cd8-3069bfbff602,b5db0bf7-8c2d-41d8-814a-8eee45608c50,4d4bb419-1f68-4c6e-92dc-bcfc0cc7c8e8,28d07a0a-b5ea-4ec0-b831-e80e060ef49c,dbb0837c-5ba2-4b10-bb93-a832fa11f481,d91020aa-3661-4b53-bbe4-e9677678736b,22879c27-d2a7-43cb-bebf-4fb3379003d9,63970639-a366-42e8-aa18-d072a9fc1770,17b53839-6c06-48cd-8829-0dd7499eec4e,af417154-4a8e-4c16-b65d-3f912189daa3,6f440be3-01eb-41c7-a80e-1c25310d3664,d51d209c-1403-49e9-a9b7-3c36659b64a9,bcf59ef3-e66b-49b6-92a8-478097e710c2,94e3b26a-8ffe-4ad7-b432-d7c7be4b5028,2db0a3fd-2399-4bfb-b676-2b19c197f391,309f6763-b665-495e-91b2-07007d5cdf04,0759b027-a95e-4679-9262-cd32edbc9490,d0766295-77cb-446a-9ebe-4820f57a8d36,0cd9169f-e533-4da9-8ed4-e56435fa4dc7,4054a92c-e4c6-4742-99fc-2e9bc0b99ed5,24a6594d-c21e-45e3-9863-f6b7e304f21c,50db711e-b2eb-4b33-ae9f-48ce6d860a48,a257fbd4-8d85-459a-984c-83040a164db6,19943aa8-5fe4-475c-8398-529ce6c0a3c3,7037419d-af1b-4420-a855-6af478e6e31a,33f500d7-0967-4bbf-9b40-d1d6ff8e3e3a,2d2554be-a947-4b7c-90b8-be1b4a0bd943,ea6594eb-a7a7-4aa9-a6b3-28a312c3adb4,e6d69ef2-2ae5-4a6c-b162-6eb465953c88,91cf017e-0026-4939-b9b0-151b13397092,21589a6c-f540-4927-ae32-cc626844aa9c,36091e7d-21aa-4471-bd96-8fd4d93c03ff,90879f6d-e07a-480d-ab46-5e654b2c8030,5608dff0-72ab-468c-b25f-d411ad581052,6d88ce71-ecd1-4edf-8935-ea9137ed1ef1,a416945e-cd2d-43f6-aeff-d35cb66684df,6f2d4c85-893f-40ed-8ec1-a03b53ec59c1,641c7068-0f33-42dd-a4fe-cafb541826ee,dc731794-8d31-4fb8-a4a5-c894e788fa0b,28a15efb-f538-41fd-9517-0fb86cae338b,79ab1074-d958-4de9-98a6-934277350b07,6fef6e45-aa6e-41e6-98b1-5dbb9a67b31f,f2c479c0-f730-4751-a83c-8be312ea9f04
hsa-let-7a-1,30679,13371,46234,54834,43565,67039,54257,93179,35570,25385,85734,67245,15763,56184,49551,37081,52998,43632,26331,21864,26449,10346,13089,26054,64506,39346,39014,21033,24491,32196,78542,38767,48377,19325,37494,43068,18225,66863,15563,34853,20463,21618,25312,28228,53481,37370,78303,27032,15784,28515,65817,32214,29908,36349,19575,139569,26134
hsa-let-7a-2,30438,13341,46323,55455,43403,67213,54744,92741,35437,25681,85926,67233,15856,56362,49857,36652,53108,43720,26347,22159,26129,10444,13196,26018,64544,39784,39029,21031,24521,32334,78010,39198,48221,19249,37466,43312,18160,67120,15438,34687,20814,21413,25164,27666,52936,37455,78341,26846,15776,28825,65745,32014,29774,36384,19294,139951,26279
hsa-let-7a-3,30952,13395,45914,55384,44242,67055,55130,92957,35726,25395,86135,67068,15922,56398,50391,37056,53603,43806,26411,22053,26377,10561,13127,26062,64353,39398,39326,21380,24511,32631,79160,39525,48315,19611,37675,43301,18287,67382,15581,34836,20808,21816,25199,28177,54124,37724,78382,27388,15781,28729,65547,32448,30292,36816,19574,139472,26431
hsa-let-7b,171173,63077,146223,71425,96955,135813,75328,164726,93741,50094,188858,150710,78513,111158,89677,146477,94656,108683,63203,47759,150285,39300,81903,162546,97976,225107,79003,112528,54102,190627,144520,61604,140755,62149,85874,82761,136043,193371,64269,53006,64048,113018,113159,76794,96719,73312,130581,65008,76337,65819,138245,79689,161965,53413,109858,260188,83076
hsa-let-7c,31981,10632,29352,24301,21725,35164,21758,47779,24437,14078,32793,33261,12418,40533,22548,36952,28194,30919,14271,10261,33438,7443,11630,13102,21957,36896,23101,23803,12021,35955,35229,18425,27478,12077,21846,21710,17423,34969,11086,9260,14754,19015,25450,18551,32087,17365,28490,2189,15812,19732,37239,20069,30527,15435,20838,54744,13508
hsa-let-7d,837,1293,1685,1680,1780,1884,2201,1124,1344,514,1030,1160,660,1538,1219,965,1255,1291,760,623,1070,520,1420,1477,1235,1520,830,941,1051,1146,2257,1815,1528,974,1050,862,566,1752,1791,1219,1043,1199,467,1736,1270,679,1052,685,654,817,1601,928,1093,1981,990,2386,1222
hsa-let-7e,2024,1081,2168,7353,5603,3119,5354,6735,3070,1284,5674,4646,1405,3410,4820,3009,3054,3255,1778,2356,1876,737,1550,1940,3691,2153,3190,1937,2471,2410,6512,4224,4692,1654,2683,1963,1439,3523,2265,3442,1538,2042,1828,3651,2675,2266,6030,1900,985,1998,4256,2482,1793,4544,1694,5663,1778
hsa-let-7f-1,4384,1995,11983,32951,15551,21233,17851,32320,8615,6869,26366,24494,3092,13024,18916,8052,20976,10750,6078,8613,4615,1895,2209,2863,29586,6452,14310,3206,7014,5043,24449,14865,12281,3187,9638,12469,2858,17459,3133,18736,3873,3435,7234,7195,17824,14026,28163,7685,2279,8463,20784,7975,4763,17727,3504,45090,8361
hsa-let-7f-2,4327,1942,12293,33178,15674,21623,18257,32739,8691,7051,26352,24433,3222,13311,19057,8068,21304,10833,6048,8732,4730,1910,2188,2825,29834,6225,14301,3187,7213,4921,24622,14937,12363,3210,9757,12633,2854,17664,2994,19039,3799,3333,7154,7350,18517,14141,28843,7664,2364,8575,20937,8248,4764,17646,3647,45880,8361
hsa-let-7g,945,349,1612,3360,2080,2265,3427,2735,1299,743,2528,2353,481,1971,2124,1194,2727,1305,851,925,878,361,630,543,3106,1620,1453,659,1056,1024,3503,2433,1627,694,1221,1503,542,2596,1287,2820,799,735,806,1270,1992,1453,1952,1162,611,1002,1952,917,1397,2912,722,5850,1327
