accession_id,is_expressed,d2d4e49b-9070-4123-a0a1-26c1ae412f90,f9b78f39-e96f-4ca4-9149-5c19c68b0d5e,9829840b-4803-4e25-8325-a74a2ca16dc2,60f0ab3d-cce7-44c8-b56e-dc96f5c44a9b,4af362e9-6809-4f30-a59c-49627ab987c2,2a86ab10-4cd3-47d3-8f09-f92165a6da71,f084f7fb-d15c-43bb-bb99-f056b771fa62,44877412-0b2c-4dbf-a414-94ef673887f6,9042f38b-948f-4f8d-a1e1-8f7050550500,8dbb8398-24b8-4204-bd68-97b22c3353a0,cd88f5a8-72ec-466b-9c0c-cd829a3d3624,d3beada8-7594-46d9-8e60-7c5637ba157c,1ffe7970-0f26-4dbb-a868-82f62c81ceca,118c6c30-50e6-47e2-8a1e-2f0af7b992ef,c4393731-c0be-451e-a40d-b73b3754de1a,f7361347-012a-4bcc-8fac-5e649cb43430,dc77fc58-c2e0-40b8-940d-b5e7ad227d92,989c8235-bae1-4452-a4cd-156b600f8233,448acb1c-e015-4b7d-9afa-2f7a711ec5a4,2f539f92-b73d-4e77-ba07-f94b1fb254f6,597d6fb5-0322-4689-99c7-50fa624944b9,0983589f-38ab-4ffe-aa77-0936d573b23a,97911982-e3ec-49cd-b7e3-3fd0b5e7cd43,5338c9ca-40ab-4fa9-9b55-dccb572321ca,bcb36504-3626-47e9-bf05-de36428737c4,c37cdc8b-c959-47cf-8475-85b3dc948a60,6874f5d8-0d77-46df-89a7-51e7b1351075,6ede932d-8018-4760-8001-179f8bfd3861,7d31346d-1d85-4ffd-ab8d-0f8cec91f81b,59cab2cc-e8c4-42c3-a47c-1056cc7fd1af,8eb51180-16da-4fd3-9054-92d6f9f88da1,a8ae4c3f-e77d-4664-b9ae-278d0b6e4e81,d0f845cb-f147-4d1b-9759-b842c3894b95,e7b54d74-6e25-460a-bee5-d07b4d410773,244aedc7-2e00-4543-a9de-c1e4ae0c92bf,0563f81d-6fe3-4648-be83-ffcfb27df35f,841108cf-9214-42f6-bd8d-1cd80c14e943,813b35dc-d0ed-43f0-93f7-abb9bb6f197a,193602bb-7069-4a72-8131-804a0bd923f5,e0aeb03a-23d3-4013-b7e1-c120e03f10df,5fab925b-4cc8-4126-8fb9-8f7655f7bde1,0bc59ba8-158b-4309-b4d5-bb541f892fbf,e6a87bcc-c44d-4a20-8f52-e9c4f2923246,e6c86b12-3456-4c01-b1f3-bb0c385e7c63,c0f81986-03c5-494e-9a43-27e1d6ae140d,807ab4ca-7f1c-4df0-a657-00f77d5b8eb1,ed578987-fae3-426c-9435-c72ab01d4b82,efa0d6a5-c470-4963-b530-641084d80e4b,e4617ffc-d0b4-4ebd-88fc-0b5e9d2eefbf,563757fe-ab75-4fed-bda6-014e6e2ddb53,5cf76542-49f0-4d0c-8427-437c55f51f61,5a79be00-de6f-44ab-a0ac-29ec7bbd2087,fe9a6609-5a92-436b-8d60-140e4cd7dc9b,dab318b3-2e82-4f0b-92db-3a4b7e98bcec,740e84ea-f42a-4e1c-99bd-39f35627be12,003bb8e8-01b8-4c6a-82b6-d0b003d5143b,bf63f154-6eb1-4a9e-a683-3aa4cdbb7125,f4c820c4-0ed2-4e06-9bc4-24f0259fa80a,2355503e-8013-4092-9733-eabd4ca15ce6,5cc5f8c9-a224-4d70-b406-89f0d35cd711,d8f4fee7-bb7b-48d1-8d15-7ee33cc5f339,90825e80-0e8b-4430-89d2-207cf4be6619,0a4647df-3e2f-445a-88a5-01c2e6a811c8,54f6fcc7-e68d-42dc-b1c9-90fa90b083b6,acd05696-1ab3-4e43-8520-2a141acb9e25,f6bfc040-7f92-4499-b5b3-68615c2e7b33,8f45a07f-25c0-4820-b3b9-e2e0bbc54940,4d85e3a8-263a-4f3a-8b40-0aa1f20944d3,22a58527-ff76-4eb6-a212-a7600e6d8963,8a37c9f4-a187-4536-9c29-41a3aecba27d,e70cc642-063e-4ea4-8fcc-9f5cfe3ce9a9,f697950a-6bbf-430c-98f2-ee7e61840a5f,dafd5e8a-1a86-42fb-88e2-92fd09d596da,809f13dc-caad-4bde-9b5e-606e5d229d42,5359d1b9-dfba-4f3e-b0c4-7fbf51dfb72c,080fe4c3-1515-46fa-95b9-46e630d31b6c,187a4656-8ce6-4df5-82fa-93a0a6bf9248,a3ee5904-e876-4ee4-a9b0-ff5d0b3d275f,a473ce1d-15e1-4ca2-bcba-fa36367a7f0d,ae89d22f-6bff-493e-8ec8-59987ccc1785,d883c427-a678-4ff1-b7de-49ba0d305b2f,a9a3d49c-6d6d-4989-b3ec-c0679684621a,4cb946b2-4aec-4300-9c26-0fc36d0b95d0,3f7848d9-ee82-4648-92d8-e0188275abf4,f83b6eb6-444b-4fe0-9f53-3f152537500d,95434759-f95d-4e7a-bc24-c8d8a2dc6d2c,0961f723-1c0b-4a2a-8a86-861bf407085b
MIMAT0000062,1,15553.368251,16952.773275,31382.52664,30577.157094,18851.943836,37318.371199,36884.403185,13606.071302,15602.806323,15647.255996,33975.216371,17704.213912,20971.152225,22048.672127,13424.641381,32642.039713,21022.916807,24021.841657,22634.492048,56261.432706,24642.793976,8366.300696,18173.317868,38540.295198,34667.731932,33950.610998,36746.893033,19929.142465,35594.682245,16682.48001,13156.910636,29492.822531,29476.93472,20224.012785,23581.48073,23427.688706,69735.314663,43373.138376,21894.870481,16577.869384,33565.565703,26489.421077,13744.344501,85291.610326,19561.893123,25558.088859,50049.856249,16791.232198,12346.031078,30373.083049,27070.08185,17824.986102000003,27344.542911,16618.005087999998,28051.84435,11368.652848,14708.402868,23294.592233,24948.49056,26947.180685,24349.789688,26219.033969,27519.255453,26376.180175,38684.843211,13552.977189,23455.610809,29138.407825,16926.217651,14471.782204,23444.011081,31719.339537,36067.417159,30965.575402,34113.267388,14424.051032,10262.995255,24042.776002,19676.811614,20219.166489,11182.821784,16409.095007,23675.069602,19392.008713,20151.3959,39048.494316,47203.619106
MIMAT0000063,1,22802.223128,28824.284048,20581.348805,24073.278455,29583.110661,45445.129825,23211.973287,32261.288881,14127.592753,11170.621439,25766.41164,10921.090537,29492.534947,55349.948544,10658.127529,22431.637397,16603.238027,13833.962583,18892.534202,53436.130878,20140.787292,6656.786907000001,19607.566919,35759.99414,21944.73165,22311.927498,21349.6477,33958.088836,40232.54357,28097.809675,9235.987692,12088.587835,11588.112293,18971.53601,19823.577403,26597.342416,46417.647731000005,40461.295862,30658.565935,14841.832503,14136.322964,30582.02936,18232.475514,35979.435191,17396.343352,73323.100741,54908.493821,18943.710404,19979.394153,21536.031186,14372.895561,11319.562962,7926.714363,24790.001212,21144.827883,11651.164728000002,28128.765375,16963.463467,44736.793465,17090.933109,53226.541466,27485.108188,22870.686857,16171.567367,15060.884485,15902.888547000002,10994.79705,16257.541654,15564.777016,9808.259422,36679.68412,26016.764007,26096.599691,17273.217043,18967.999928,13423.787865,7054.410027,40626.08326200001,11515.936381,10878.231941,12456.754252,19687.780688,56500.264318,32638.797145,23865.539337,29848.559887,44226.48627
MIMAT0000064,1,2354.167968,1740.972135,7348.836701,1274.19616,743.905074,4603.07312,1106.602731,1988.831156,6467.641719,2504.695533,4693.332455,1078.397993,2584.782983,2088.144487,8357.321725,2625.468855,3231.811643,864.8559859999999,2975.683941,584.023477,1806.573673,1591.8822699999998,2438.839715,1348.081414,2817.934018,3371.916999,2000.562648,1851.456702,1016.715575,4274.357896,1951.04523,2311.969583,1374.2542080000003,2470.560589,2516.826434,2950.095121,356.032453,1033.457117,1738.545108,2782.7901460000003,893.414832,5692.700543,6207.287520000001,1038.799923,2157.04716,1760.225474,8117.605532,3709.918934,814.115007,1473.457454,6929.496188,3789.777733,1642.03272,2755.869704,4128.726318,10501.942215,1896.299542,2145.609302,855.291506,6489.088522,8279.511492000001,2269.770278,902.841145,966.111968,2719.203631,563.568861,3659.461324,893.825862,2726.562082,1654.337208,4824.264335,4636.011634,1331.602955,2118.817497,4058.98096,2718.9924250000004,3020.691497,837.016166,5027.663124,1723.7813689999998,1704.884641,2560.630003,1204.740006,3087.566067,2868.103948,3280.272327,244.524699
MIMAT0000065,1,239.877328,479.79547,1062.68061,707.09771,306.412704,409.808993,244.865286,232.606367,418.972398,239.247137,647.7819420000001,586.186338,604.190147,320.830616,636.7373150000001,365.170478,494.396639,668.2412439999999,300.391921,482.651527,477.989284,312.39846,379.472895,719.5376759999999,450.230285,809.280421,411.192791,336.628491,509.160882,214.015139,232.984718,874.955904,450.927163,353.483147,1061.594943,122.29485400000002,160.805998,139.74757599999998,712.3114909999999,137.685684,263.585122,412.620012,319.399172,263.431702,442.135803,413.870964,168.580003,408.976802,362.442161,256.449711,728.445288,581.859378,155.74132799999998,332.896468,218.789506,296.999662,461.349123,314.184448,450.752134,966.055933,429.473547,344.335761,707.579998,176.458806,388.828965,298.520718,466.78812,707.80919,346.916606,255.844733,466.6476970000001,286.951517,625.642023,1148.882623,412.347825,303.921637,594.8635469999999,838.223982,96.825,455.451249,478.262292,653.6482390000001,605.7732219999999,420.427456,421.514333,524.913328,452.99539
MIMAT0000066,1,791.000438,1021.278929,1209.63541,959.197825,638.593211,1156.646688,1232.17467,468.015223,699.9188459999999,646.213915,917.759678,1067.614014,899.6679,901.306542,1118.6238130000002,1664.82362,1012.706052,1423.590283,1451.763568,1325.904768,1964.648868,126.309254,324.004699,1551.259659,699.313846,2234.549915,277.366264,273.165742,1019.124854,577.840872,992.740884,1110.353813,380.373933,827.341636,3109.320826,1302.3329,1772.719997,1333.661302,858.169895,820.9829579999999,2023.158605,1077.738841,789.590387,2666.520349,604.33947,1280.112509,888.9098299999999,483.876623,547.342858,828.435145,2134.729592,1678.61454,1204.39959,718.2634810000001,1081.156769,348.559146,1284.174307,713.261124,830.407714,1676.974015,1076.598843,1830.101888,841.9428680000001,1988.690755,955.438018,795.14443,1693.173797,927.718729,1020.045245,4052.881602,837.6158330000001,1046.253356,903.939994,2102.636053,1292.119809,1122.530491,1822.968931,1074.955826,836.1138289999999,1525.343291,621.4829229999999,1878.259534,1165.035769,577.464589,1012.838725,1783.135807,1435.377833
MIMAT0000067,1,2262.974937,2865.0643800000003,4946.016047,13705.217356,2473.148274,3537.121863,9435.161717,2154.177851,2836.87387,2994.288901,13654.453189999998,4577.799479,3102.660253,3209.09057,3123.595219,6947.819684,3994.031369,5370.817891,3355.291485,15448.37923,4976.859552,1801.112104,5538.895535,8976.925867,7277.939657,15705.43209,9421.819049,2503.559434,10200.082561,2493.276361,2584.3547270000004,13989.154308,4186.158278,6598.670524,6049.357539,5902.3357670000005,8531.754872,7832.230499,3903.345074,1626.572487,11082.652627,3979.515682,3688.360571,21785.22107,5882.499137,3933.755737,7524.630902999999,4051.723674,2800.187662,8340.975538,5811.168731,4282.050673,6663.133075,2861.393802,9639.192533,2066.6404110000003,2445.279222,7118.046377000001,2910.692789,5440.463707,3132.630567,6844.028989,5186.98671,2695.408277,20062.638895,2601.297237,9355.458169,18362.446385,3797.218508,3999.07896,3526.715158,6820.176178,10256.160953,7915.582352,15610.517553,3970.776946,5160.281344999999,2686.181751,2922.467998,11498.649786,2319.486094,3202.96343,3368.053746,4200.120143,3249.875502,9797.219524,4281.502542
MIMAT0000068,1,239.877328,98.243833,50.447171,169.926639,112.594064,108.61058,62.001148,57.918051,141.941583,192.384296,179.024868,167.921973,136.662059,118.448466,194.141323,77.013754,353.90908,303.632892,189.803773,149.788404,134.865744,141.73633900000002,102.131915,133.063051,180.468089,186.170104,158.649188,171.993245,249.761883,247.306382,104.923833,86.916149,283.235428,164.321896,275.341626,75.808506,102.198194,199.803752,141.939821,100.912491,217.722942,153.40282399999998,107.526814,206.764862,169.39818499999998,100.212258,101.221616,168.821818,289.769749,144.022158,178.903882,248.85121,139.648056,177.233846,126.561313,89.483399,281.577606,156.051879,118.020277,170.917588,219.595073,289.12821,317.057705,178.223396,171.022365,209.032815,164.130845,69.756251,119.626418,142.219573,176.251826,159.880427,63.409665,451.176773,179.722779,229.396792,307.026349,234.316216,209.995456,168.552824,151.392379,175.814839,190.58034,131.279718,117.421848,237.170141,207.399781
MIMAT0000069,1,1026.91285,739.113497,1166.864986,876.009857,1118.098283,885.680088,557.22549,837.0092569999999,1779.6537899999998,1097.5770690000002,1507.924425,1368.795167,884.419292,1361.765152,1194.89362,673.22549,1746.230449,1470.877374,632.940678,1413.15525,1186.191262,740.5000530000001,677.944616,661.26416,1119.466116,1605.844306,1114.141796,1388.822465,994.228975,3028.314206,676.893244,465.725697,1866.081791,731.8056539999999,1817.254742,422.668176,469.128246,591.9713509999999,1198.215906,1776.230839,417.166297,1712.065132,1346.312048,961.263106,1145.236376,2071.619494,389.795246,2754.6489890000003,1153.559571,444.376061,955.104389,1063.273357,400.25521,2808.923256,737.488935,360.06415,2761.006976,1216.372378,1921.73977,1354.955371,2470.930377,1610.979127,1869.480488,803.769863,1010.019624,2436.666816,707.732201,723.573315,1363.281046,387.1532820000001,1740.696628,402.044593,741.8930770000001,2159.747038,1226.897837,1503.305877,3372.492523,2688.597382,419.990915,1528.929519,859.753887,2140.2410480000003,3075.376795,2641.381194,959.246185,652.21789,2265.690891
MIMAT0000070,1,1598.851763,1159.50572,2378.693748,1664.266559,1735.40506,2004.257085,434.7928490000001,415.702144,3439.880884,1144.43991,936.691043,1423.485351,1580.676505,553.805413,582.423969,1127.201296,2678.2308849999995,3015.174178,3461.173757,704.055935,645.4737200000001,4016.827094,1192.125985,666.250127,1671.209702,844.886727,743.240862,1352.032464,3498.272548,567.140117,582.192758,5138.193055000001,10202.610471,2758.123903,6920.252909,460.572428,198.017305,2961.6208800000004,1759.0088240000002,2879.426681,2039.806086,750.7780720000001,320.035426,181.333888,337.488274,1197.451551,157.905723,348.343613,946.581179,1872.288045,769.072861,2334.676825,1621.267209,1413.20672,504.562263,347.706923,2255.842571,848.089946,760.0221290000001,1408.6251450000002,581.052446,612.689995,2978.215814,3223.020109,272.388206,2067.102265,1071.446156,949.000295,407.189916,296.478899,981.135176,1140.515104,1548.604919,6574.426083,442.784748,1046.841196,2552.1565,513.321604,1697.681648,1183.456002,501.917352,2550.18556,3243.2689989999994,735.3326050000001,336.007138,976.582934,1181.571904
MIMAT0000071,1,323.14053,365.558453,199.595326,452.461374,484.546602,968.537643,401.04538700000006,217.659774,487.495923,226.91481,296.728575,365.885032,547.799065,127.077164,128.271945,538.359299,459.125295,375.807923,717.646495,363.627743,264.08594500000004,507.1654,328.40693600000003,391.086956,549.86371,271.116571,321.975107,412.967739,1084.175377,117.708326,116.761394,1645.612434,916.169471,766.1986049999999,913.726291,150.901836,209.313592,1448.404646,734.516802,1179.307811,1246.112935,299.527416,181.968452,88.455556,183.78722,463.127835,98.645067,143.855212,166.502618,597.835567,165.361357,368.299794,264.760255,437.254554,241.34165700000003,97.579515,407.224365,241.776376,317.80158400000005,217.156163,206.963496,204.324857,457.220408,530.258715,77.45389899999999,418.7487430000001,231.752753,264.83729200000005,171.157796,79.76335800000001,338.235649,361.94429,624.937471,508.287756,120.298311,142.062986,557.2848,59.182962,657.187212,420.784355,156.983576,535.277852,344.859665,287.485968,140.90622,333.084538,749.6377630000001
