accession_id,is_expressed,f3a7612e-35c3-43be-8f96-795874f8225c,3abbb570-87ad-44c5-b66d-141f63b0ca8b,dc300e50-f729-4d0e-8a33-606e95d91c95,a00a04b4-8de5-4f18-9dc2-531e21aa5167,0d003664-43ff-4eb5-b6c0-28ba7f26ee64,557f6cb1-95e3-4c8c-b253-538a415b0d07,ed76d786-d744-4067-b288-5fe2dc06a310,e4b1e8c9-5921-436d-8f6a-9af5b5baea8e,37fb952c-2a89-4903-98b9-6f6d36743218,a576843f-a9f7-47cf-a52f-7f01066fa160,0f40e7fd-789f-49f7-a797-76bbe3c84f47,ddde9a13-c70c-464c-8066-65a88ab92dc7,b70a538a-a0d7-4a0f-ab48-fd7b4457bfd3,aef6b437-1da5-4f69-970b-977cdc9cd5c5,8ecef704-ed0f-4700-a34e-46a174033332,f1d9de11-d45a-4443-ac6a-1f58888b6fcc,be8e6554-07ae-4ec2-8be0-8598556467c9,d7438c8a-6e39-4139-92e7-2aa05bae5d40,a4c3a7ab-2ddd-415d-a222-fd3dd1c01231,e83d4619-5e2b-4da7-8c05-93611ea76c85,8ec31b5f-bb8d-4c61-aac5-3204b66e81e2,f424bcaa-7212-4abc-8110-cff56b85c85a,e896f815-d8df-42cc-bdf6-04deb50f6c1a,85236a1e-2adb-459b-b868-b9486d9a285e,a4fc56a4-2493-451a-9b30-5aa38258bcce,6dc4e6bf-a8f6-4280-af19-5ed501969f01,7e975ee3-173d-4315-aacf-c201122d9868,52fed7ff-b663-4fc1-a294-57776659175a,d68e848a-5464-4471-88bd-3faf7e088d91,81ec1c9c-36c0-48e8-929a-8273d1d3febe,0f7a5400-3b1d-42d3-b47a-2979084bf616,8334ded1-3815-4766-8861-6fa8313fab6b,0895e2a3-5571-4ee2-b715-a424d0c9fec4,585f73db-7dc1-49d8-a601-f8d33b318a95,02fc7dd7-7e17-4930-8424-52173c33b29b,41cd380c-ab97-451e-80b7-3d9653a1e909,54fb48bb-ab47-4870-beb0-5713d15d8b58,415d3af2-fc41-43d5-b185-6a09946b9e84,265fa10b-9393-4c95-99a0-df47069deaac,ba7c9ae6-bb71-4bb4-8f3d-f2041f62896f,8f6d8863-21b1-4469-b233-21bb7c9b954c,7f06d0ce-d5ac-4a70-97ea-0ebb8e8b0f67,86e3408b-76a3-4834-b85e-4d2a07677304,f4987886-cc3e-4423-84ae-84911abcd473,86b5eaae-717c-4806-be60-7ffcab935908,e351b00e-5462-4be5-a57c-162a9b7b996e,3be37b85-90eb-4f47-909a-8be730172d92,3d4b6861-2763-451d-ae0a-6a5adfc591ec,475e779f-c6b7-4f7c-9616-f2c47b9b97a5,eaf6af76-2b28-4128-9371-a3d928d72370,d0982681-8799-412d-a868-81078e4a6560,a44df6fa-36a7-4500-90fd-d62baf48ef52,646eb67c-2e86-4f89-867f-78c31eff5fe0,91b36078-362b-4909-ac90-1b2d1ea4a545,aafbf8fb-290d-408e-b104-241b7d492895,ff79f645-81f1-4a3b-ae72-adc169f30143
MIMAT0000062,1,25629.884947,16161.456276,16514.012091,10485.607394,24718.69454,31004.066221,15904.149594,22754.779044,17622.409534,49595.64662,25320.792223,17565.085662,22814.68746,22065.237089,16137.224217,28742.524205,21817.053575,37593.978482,11537.352611,13239.78704,20234.954324,38160.351396,31286.210235,15150.587603,14824.353426,19169.819454,19375.687452,14186.483579,58821.695754,18054.584926,15759.395949,14041.214442,25797.437436,15666.708438,23924.881932,9565.598509,33263.158276,10253.648793,17711.122479,27074.674356,28352.078819,19331.165494,24930.09879,28099.225195,31064.226887,19730.470273,70230.723396,22059.832868,15431.883104,22471.949627,25632.674849,8118.425479,16135.331803,15115.208847,19471.623333,16840.250251
MIMAT0000063,1,33458.726161,50108.428557,22388.78462,5914.295798,47383.139152,19417.290191,34254.979335,9674.167844,34397.224425,40112.796195,22362.177216,22203.528435,9829.301237,10743.904855,45310.583756,38870.566686000006,41472.839074,47755.562769,22324.830877,7351.905475,13464.402105,13173.595714,47939.586985,12172.76777,25274.239059,24660.280969,25172.273112,14367.252934,67261.221948,25439.041693,26279.870034,12561.389892,24131.832673,13116.343474,10397.727271,12534.281132,43144.419189,11692.84911,21215.611511000003,29163.474618,15388.692256,18261.693139,14890.696676,26342.793881,39894.82507,18121.258125,51367.370171,25447.707932,17647.122499,17199.069044,19010.081339,9771.711485,14305.249233,13397.299029999998,14162.717028,22030.385091
MIMAT0000064,1,1477.901734,1743.32834,2181.490022,574.8814130000001,2642.5851310000003,2103.246751,2006.598312,1283.980883,1917.061709,2829.107836,1691.7274109999998,1746.789283,2319.374513,1403.664926,2568.41184,2228.670888,593.528055,2708.892834,1559.1265199999998,734.193339,2937.636293,2164.0958100000003,2101.57117,3756.163343,699.163506,715.0403309999999,1000.095485,5423.515224,1679.5511209999995,2449.306596,715.882293,2097.369159,1665.604764,1726.400897,1911.157021,1737.662315,2083.811902,605.703925,3721.564232,1800.092207,2089.84762,373.135557,1907.773847,3692.978011,1363.319296,3229.396185,2056.951058,430.730313,3646.140355,1655.633506,2224.804492,622.0284,2516.029904,1433.200981,2022.264449,2720.477578
MIMAT0000065,1,310.11708400000003,547.298091,169.74511700000002,132.002719,148.930044,510.237035,408.751507,219.914922,389.85154100000005,79.02862300000001,481.654721,245.998336,197.306479,146.469384,239.498211,644.2955069999999,563.878126,405.600397,93.963846,99.097402,262.799781,150.445163,119.680757,704.881875,284.256922,279.277532,199.027062,296.791995,211.970074,212.578821,122.130133,308.13827200000003,154.380349,677.776892,112.898462,70.464813,360.51423,346.54330500000003,192.046577,336.74352100000004,200.662134,358.319881,274.01206,169.087911,177.196199,391.331136,385.174693,307.952049,201.743258,170.57509299999998,210.106462,107.081644,371.888437,422.567854,214.954722,321.94037000000003
MIMAT0000066,1,2203.123459,851.042959,240.361743,972.802654,1131.129825,847.33746,838.632773,954.85448,751.706562,2008.145061,1216.856559,1395.5546,1382.782758,1394.275863,673.072557,1170.92028,654.416304,1568.896837,319.538296,1192.908364,767.337634,1930.070001,884.721378,823.819761,1375.369408,402.069798,810.9887740000001,839.969147,1644.014963,884.859338,448.578603,964.992703,1979.548492,993.566499,512.101535,293.133626,787.329933,670.680796,845.678785,1583.189762,1049.774422,621.7096859999999,595.515387,991.247249,894.648193,976.166704,1948.436013,224.623846,996.90693,774.621942,909.833232,1097.416332,392.351198,260.400365,676.552823,916.960014
MIMAT0000067,1,1586.119673,1820.797212,2582.977014,1126.805826,3703.55783,9234.33486,2954.5229310000004,11195.668778,2875.942519,6694.644652,4883.537926,1957.26198,8067.460803,1543.561967,1390.741331,3488.326479,2905.693099,5019.089113,1981.810798,1553.149239,6141.530258000001,8177.401849,7977.094598000001,4220.545822,2238.575454,2513.497789,2287.261152,2796.275977,9236.907728,3352.766583,1734.401522,3149.857916,5051.236136,3683.790186,5577.774494,1115.458007,8041.395176999999,2855.247971,3352.391989,6326.321307,7859.522209,2153.760384,9787.885909,7212.579647,5492.761123,4831.626206,16844.006396,6384.87243,3075.354547,4465.726274,9323.199643,716.151118,4056.964767,2009.278513,3422.374934,3724.301773
MIMAT0000068,1,87.22043000000001,146.020467,83.546426,157.82934,235.087918,102.047408,119.492418,99.364544,57.392866000000005,130.886592,375.656763,101.88487,151.459331,157.736259,45.422076,189.6878,216.550379,123.406078,94.269916,117.171772,123.541046,178.733998,71.006766,274.606587,87.65632,138.515666,194.686908,109.939055,312.344139,102.303559,127.89099,154.703167,101.809586,129.733206,42.060211,45.097481,113.865564,100.079317,121.773894,132.716564,105.18168,153.095324,129.66363,99.85989,234.014544,108.721566,209.509248,123.985923,140.728223,125.733187,91.705658,149.368661,258.898408,106.557693,102.45999,119.438249
MIMAT0000069,1,1347.071087,1578.35865,718.432956,3693.206541,961.27573,332.896221,1695.480854,370.006109,695.713522,348.690064,1785.005615,1561.787809,374.145481,1216.822572,666.4657090000001,1660.893507,1755.16994,901.813648,1289.477818,1225.940831,439.152269,815.232762,531.978104,1541.819783,1210.074631,827.350329,1839.60527,677.885089,768.7032429999999,1260.858131,1689.850906,2008.605047,450.9239,780.930613,256.050763,1151.39506,523.925726,1274.891,1300.044618,748.263913,430.938524,1012.953294,1011.688774,293.453292,1234.916259,525.653804,1136.184766,723.787948,804.020693,633.941455,428.064435,1739.906193,1131.679645,401.922302,622.682108,1383.854986
MIMAT0000070,1,143.752189,293.712926,127.640371,446.704854,160.007485,137.20980899999998,690.724471,196.640344,130.183818,482.790388,1182.937211,391.452393,970.158417,255.382515,250.234336,1854.439365,346.79828200000003,186.403587,206.598034,440.640653,697.551091,286.74591,120.253393,911.274087,584.3754680000001,283.021198,249.868865,230.741656,484.413965,241.808407,412.47724199999993,467.913676,322.828929,412.614879,112.160565,101.46933,179.806697,356.99935700000003,169.905869,207.988645,536.630796,1198.972341,224.958591,385.348899,552.1330829999999,303.223446,906.799005,785.7809090000001,471.390342,442.264288,216.387674,178.01470600000002,1277.58803,420.902891,333.787184,385.459803
MIMAT0000071,1,22.612703,68.551594,58.018351,85.13218800000001,38.155631,72.61800500000001,184.338915,135.469979,68.591474,380.535236,230.651558,59.656271,223.504851,91.073912,76.804598,308.644556,114.364014,45.737917,78.96636,86.009067,242.052428,75.222581,83.032104,153.045073,113.118394,89.099266,83.082948,109.939056,117.206981,146.14794,166.680749,59.598762,149.197316,94.293891,76.003541,31.004518,149.178302,91.116993,83.74963499999998,99.042213,173.090238,265.035992,130.28851600000002,100.472527,193.246577,134.322666,315.338279,360.686318,103.331913,233.00206,135.67412900000002,77.75354999999999,294.48582000000005,77.254329,125.698339,152.555219
