accession_id,mirna_name,gene_name,mirtarbase,correlation,pvalue,qvalue,is_interaction_of_interest
MIMAT0000062,hsa-let-7a-5p,PKIA,,-0.01394395078605605,0.45937897261251964,0.8711328089659705,0
MIMAT0000062,hsa-let-7a-5p,GJC1,,0.24818865345181138,0.9674344997779158,0.9999999999998256,0
MIMAT0000062,hsa-let-7a-5p,PBX3,,0.0038961038961038965,0.511367627550932,0.8949368244620098,0
MIMAT0000062,hsa-let-7a-5p,ITSN1,,0.10280246069719755,0.7745612433783555,0.9820532655543581,0
MIMAT0000062,hsa-let-7a-5p,SRGAP1,,-0.06794258373205742,0.30940278863565707,0.7898433313909199,0
MIMAT0000062,hsa-let-7a-5p,LCOR,,0.03643198906356801,0.6051004379804252,0.9288412447309639,0
MIMAT0000062,hsa-let-7a-5p,DYRK1A,,0.10929596719070404,0.7886816766665405,0.9846074570319341,0
MIMAT0000062,hsa-let-7a-5p,NSMCE2,,-0.039439507860560497,0.3864460900914969,0.8363788814518365,0
MIMAT0000062,hsa-let-7a-5p,SAMD12,,0.02262474367737526,0.5657289316163449,0.9152265776287478,0
MIMAT0000062,hsa-let-7a-5p,PBX1,,0.05044429254955571,0.6440150183443689,0.9425665430772272,0
MIMAT0000062,hsa-let-7a-5p,ARHGEF7,,0.2813397129186603,0.98215759462137,0.9999999999998256,0
MIMAT0000062,hsa-let-7a-5p,TASOR,,0.0004101161995898838,0.5011967480518883,0.889579037182788,0
MIMAT0000062,hsa-let-7a-5p,CLASP2,,-0.09104579630895422,0.2522757006191213,0.748751951466268,0
MIMAT0000062,hsa-let-7a-5p,P4HA2,,-0.07265892002734109,0.2973040120228905,0.7824399968657149,0
MIMAT0000062,hsa-let-7a-5p,TET3,,0.06807928913192071,0.6909508270418023,0.9563848501658865,0
MIMAT0000062,hsa-let-7a-5p,ARHGAP28,,0.23356117566643883,0.9584024770647666,0.9999999999998256,0
MIMAT0000062,hsa-let-7a-5p,GNAL,,-0.13198906356801096,0.16610067254477057,0.671909621661435,0
MIMAT0000062,hsa-let-7a-5p,FBXO21,,0.1678742310321258,0.8919045813859252,0.9999999999998256,0
MIMAT0000062,hsa-let-7a-5p,MON2,,-0.09685577580314422,0.23881269124116872,0.7407944100934754,0
MIMAT0000062,hsa-let-7a-5p,ACVR1B,MIRT052392,0.007177033492822967,0.5209337756537264,0.8985770027274544,0
MIMAT0000062,hsa-let-7a-5p,RPS6KA3,,0.09945317840054682,0.7670800552707504,0.9797980840846177,0
MIMAT0000062,hsa-let-7a-5p,NAP1L1,MIRT712374,0.23082706766917294,0.9565139615724553,0.9999999999998256,0
