accession_id,is_expressed,6dc4e6bf-a8f6-4280-af19-5ed501969f01,86e3408b-76a3-4834-b85e-4d2a07677304,a44df6fa-36a7-4500-90fd-d62baf48ef52,3abbb570-87ad-44c5-b66d-141f63b0ca8b,a4fc56a4-2493-451a-9b30-5aa38258bcce,be8e6554-07ae-4ec2-8be0-8598556467c9,d68e848a-5464-4471-88bd-3faf7e088d91,f3a7612e-35c3-43be-8f96-795874f8225c,0d003664-43ff-4eb5-b6c0-28ba7f26ee64,0f40e7fd-789f-49f7-a797-76bbe3c84f47,e83d4619-5e2b-4da7-8c05-93611ea76c85,f424bcaa-7212-4abc-8110-cff56b85c85a,86b5eaae-717c-4806-be60-7ffcab935908,265fa10b-9393-4c95-99a0-df47069deaac,ff79f645-81f1-4a3b-ae72-adc169f30143,ed76d786-d744-4067-b288-5fe2dc06a310,52fed7ff-b663-4fc1-a294-57776659175a,8f6d8863-21b1-4469-b233-21bb7c9b954c,41cd380c-ab97-451e-80b7-3d9653a1e909,e351b00e-5462-4be5-a57c-162a9b7b996e,ddde9a13-c70c-464c-8066-65a88ab92dc7,e4b1e8c9-5921-436d-8f6a-9af5b5baea8e,8ecef704-ed0f-4700-a34e-46a174033332,02fc7dd7-7e17-4930-8424-52173c33b29b,e896f815-d8df-42cc-bdf6-04deb50f6c1a,37fb952c-2a89-4903-98b9-6f6d36743218,85236a1e-2adb-459b-b868-b9486d9a285e,557f6cb1-95e3-4c8c-b253-538a415b0d07,d0982681-8799-412d-a868-81078e4a6560,0f7a5400-3b1d-42d3-b47a-2979084bf616,7e975ee3-173d-4315-aacf-c201122d9868,81ec1c9c-36c0-48e8-929a-8273d1d3febe,eaf6af76-2b28-4128-9371-a3d928d72370,8334ded1-3815-4766-8861-6fa8313fab6b,7f06d0ce-d5ac-4a70-97ea-0ebb8e8b0f67,a4c3a7ab-2ddd-415d-a222-fd3dd1c01231,aef6b437-1da5-4f69-970b-977cdc9cd5c5,3be37b85-90eb-4f47-909a-8be730172d92,0895e2a3-5571-4ee2-b715-a424d0c9fec4,475e779f-c6b7-4f7c-9616-f2c47b9b97a5,f1d9de11-d45a-4443-ac6a-1f58888b6fcc,f4987886-cc3e-4423-84ae-84911abcd473,d7438c8a-6e39-4139-92e7-2aa05bae5d40,91b36078-362b-4909-ac90-1b2d1ea4a545,415d3af2-fc41-43d5-b185-6a09946b9e84,a00a04b4-8de5-4f18-9dc2-531e21aa5167,dc300e50-f729-4d0e-8a33-606e95d91c95,585f73db-7dc1-49d8-a601-f8d33b318a95,646eb67c-2e86-4f89-867f-78c31eff5fe0,b70a538a-a0d7-4a0f-ab48-fd7b4457bfd3,aafbf8fb-290d-408e-b104-241b7d492895,3d4b6861-2763-451d-ae0a-6a5adfc591ec,8ec31b5f-bb8d-4c61-aac5-3204b66e81e2,a576843f-a9f7-47cf-a52f-7f01066fa160,54fb48bb-ab47-4870-beb0-5713d15d8b58,ba7c9ae6-bb71-4bb4-8f3d-f2041f62896f
MIMAT0000062,1,25603,79791,11903,28998,35515,41206,94350,15868,20083,29860,21243,59354,96771,36797,31019,21828,32647,55528,13575,59343,26205,76258,19540,32423,109271,25178,17324,81120,81617,41034,31250,27178,25558,11073,35229,37695,23501,130734,69682,15681,44700,45866,43563,45392,13729,10962,49811,24756,18136,27867,36868,54800,64370,339513,184624,54673
MIMAT0000063,1,32936,47659,14327,89908,60550,78330,107887,20715,38497,26371,11796,20490,124280,44078,40579,47014,33063,30139,17788,54503,33125,32421,54865,14091,167435,49145,13919,50804,60530,68427,40599,38294,19561,9906,33280,72940,11443,95620,65183,17932,60451,42999,55338,40233,15656,6183,67531,20726,16079,12006,26816,63216,42832,274597,239469,58891
MIMAT0000064,1,955,6106,912,3128,1675,1121,2694,915,2147,1995,1178,3366,4247,7732,5011,2754,12481,4093,2466,9713,2606,4303,3110,2590,7340,2739,4295,5503,7084,1864,1613,3687,1883,1654,680,5094,1495,3829,4499,3705,3466,6028,3139,4304,811,601,6580,2728,2828,2833,3829,1070,9345,19367,11566,3635
MIMAT0000065,1,373,877,157,982,681,1065,340,192,121,568,159,234,552,399,593,561,683,393,100,1177,367,737,290,153,418,557,806,1335,669,318,321,320,194,243,653,307,156,717,417,205,1002,276,470,1269,464,138,512,1071,418,241,407,765,836,541,2001,680
MIMAT0000066,1,537,1906,1609,1527,3295,1236,2637,1364,919,1435,1914,3002,2787,1757,1689,1151,1933,2056,416,2936,2082,3200,815,694,3090,1074,942,2217,2897,1168,1308,1332,881,761,1133,1044,1485,3627,5347,1013,1821,1618,1818,782,898,1017,725,1570,441,1689,1281,558,2441,13747,4370,3197
MIMAT0000067,1,3357,31327,1050,3267,5363,5488,14816,982,3009,5759,2492,12719,17111,6965,6860,4055,6435,15393,1583,14532,2920,37520,1684,7559,27861,4109,4826,24161,29686,4516,3689,5047,5079,2484,3925,6475,1644,31355,13644,3125,5425,11773,5816,6034,3823,1178,7791,5821,4560,9854,6480,15861,19537,45829,44633,12775
MIMAT0000068,1,185,415,219,262,210,409,501,54,191,443,188,278,729,253,220,164,253,206,64,327,152,333,55,57,248,82,314,267,292,333,314,154,143,122,279,308,168,390,275,143,295,163,143,320,134,165,252,205,291,185,194,308,393,896,632,268
MIMAT0000069,1,1105,3238,2551,2832,2899,3315,1233,834,781,2105,1967,1268,3847,2701,2549,2327,1560,844,1634,1581,2330,1240,807,347,1858,994,1763,871,1363,4400,2967,1898,721,1584,1846,4213,1296,2115,1218,817,2583,479,1045,1207,1707,3861,2167,1234,1272,457,1179,1798,1397,2387,2908,1511
MIMAT0000070,1,378,720,261,527,1400,655,777,89,130,1395,707,446,1720,353,710,948,531,1051,144,912,584,659,303,152,420,186,1042,359,689,1074,403,364,503,369,2185,675,272,1688,872,479,2884,629,216,1264,478,467,385,652,1436,1185,632,1952,2219,3305,998,420
MIMAT0000071,1,119,417,114,123,271,216,188,14,31,272,138,117,602,174,281,253,253,339,44,404,89,454,93,103,290,98,175,190,432,434,134,220,265,47,483,258,97,587,403,105,480,164,53,232,122,89,175,149,331,273,238,896,770,2605,828,200
MIMAT0000072,1,12,30,18,10,16,37,7,2,1,33,17,10,26,14,30,49,13,22,0,37,11,34,2,6,5,4,49,6,25,50,14,18,3,7,121,7,5,25,20,10,72,17,5,55,7,3,21,12,27,12,11,54,118,29,45,20
MIMAT0000073,1,38,53,15,84,90,71,49,6,12,125,74,19,152,64,108,47,41,71,19,54,36,72,18,10,34,19,79,46,29,192,40,46,41,43,143,137,53,66,43,39,185,41,8,78,47,36,15,69,97,59,35,30,199,87,54,36
MIMAT0000074,1,138,248,54,202,303,285,260,37,49,585,205,312,576,176,251,160,201,327,55,235,144,252,60,63,114,55,310,179,185,391,188,166,145,111,764,299,153,645,154,134,402,181,57,329,167,108,130,201,274,248,138,239,701,296,238,162
MIMAT0000075,1,214,436,47,188,428,280,347,17,85,660,264,106,767,184,340,323,220,484,51,380,148,380,103,73,200,80,342,187,273,405,195,212,236,114,1104,286,100,560,395,175,876,353,72,410,152,136,178,324,653,616,192,589,1081,2679,451,171
MIMAT0000076,1,689598,955250,450246,771681,810114,727502,279255,96431,215909,322516,365653,268554,1010585,370299,554494,221835,385465,743554,492598,695432,460338,1244063,144736,541746,1087625,454814,172396,688857,857434,533114,592743,444327,370273,178123,400835,883494,352846,454262,946580,416355,289190,699618,178554,155033,457112,213782,1689344,466812,216986,479717,482105,934688,1114472,2139438,1602378,428647
MIMAT0000077,1,90039,225973,84873,111559,112674,114910,133974,32638,105807,74504,135411,120259,206846,157718,134682,60090,201579,188474,47498,240511,99432,251792,74471,142171,336658,118199,39835,224417,263827,106223,116503,152706,126870,53251,78552,269099,97285,136552,229092,81869,38028,110395,109337,40617,74810,56349,156005,166651,60291,55691,206042,155775,192560,988638,478228,175997
MIMAT0000078,1,1485,6323,6342,7957,11061,5783,6726,1190,2581,4907,7846,12407,5324,8994,7916,4956,8564,6096,1984,7773,3598,6790,3970,4735,19871,5772,2694,8490,13563,11862,5584,6902,3665,3338,7489,29981,6071,9319,12123,3054,2932,4511,6773,2927,3369,2874,8407,6939,3421,2362,8368,30658,6531,44031,17333,6306
MIMAT0000079,1,11,12,20,25,16,38,8,12,5,10,20,51,38,31,15,19,35,29,2,19,24,28,8,18,5,17,27,32,27,17,13,11,11,9,26,29,39,25,29,21,23,12,19,18,22,12,15,12,5,4,21,12,42,11,113,31
MIMAT0000080,1,510,4159,4369,3389,3980,2757,1391,1077,505,1012,3311,6165,2963,3197,3666,2697,3925,3574,502,2885,3250,3875,984,1418,2995,1441,1399,4740,4486,3935,2659,2675,1131,825,3525,6103,1925,4391,2847,742,2080,1373,2819,1655,1601,783,3504,2307,1208,1109,3076,13973,3817,9007,6186,3096
MIMAT0000081,1,4430,26707,10714,19196,15257,35358,24146,13514,8761,24330,8465,6285,35058,27335,26944,17941,18071,23010,13926,35611,21859,33817,16149,14056,32378,5870,10727,18343,25235,26115,15139,18710,9316,14825,12249,29762,11301,27754,20754,5787,45064,9954,15953,28207,13442,26761,22667,9002,20958,11926,12868,14044,42818,70798,37374,11334
MIMAT0000082,1,921,9498,4007,2158,2729,5428,1790,795,648,1481,3654,4091,5665,11108,3221,3155,4718,2089,1310,4128,2027,3320,1835,1146,3209,1762,877,3781,3656,3482,3217,3553,784,1537,3293,5579,1326,4313,2143,1429,2267,1671,2445,1110,1754,2038,4046,1761,1234,1635,2306,3600,4370,7833,9681,3898
MIMAT0000083,1,957,2070,1104,1016,1311,2768,938,580,274,1356,2012,3806,3386,2223,1441,830,3117,1097,488,1416,970,1077,357,313,1006,471,1056,2581,1264,1312,1462,1398,503,497,2341,1154,773,2312,732,717,1827,689,854,3339,920,704,1651,1233,841,842,664,862,2486,1964,1201,1998
MIMAT0000084,1,179,2264,3134,2160,3089,3578,1162,562,449,548,2624,4410,1711,2312,2152,1935,2625,2204,460,2254,1411,2748,609,1259,3350,1245,368,2524,3887,3547,1950,2827,861,927,1929,4564,1782,3999,2772,545,896,1002,1130,665,1025,586,4219,988,1064,625,2315,8544,2319,10124,5971,2343
MIMAT0000085,1,51,364,110,146,78,256,139,47,69,82,121,260,255,236,346,183,260,195,62,293,114,412,91,85,239,96,92,318,214,164,195,167,80,43,136,238,105,302,167,57,157,81,166,181,54,75,268,110,168,62,139,158,336,358,734,149
MIMAT0000086,1,2775,20566,5245,3138,4283,9269,2916,2476,1025,8179,4451,7175,27747,10199,7030,5150,14538,6477,2063,8848,4731,9103,2722,4509,12053,3333,6042,9566,9021,6982,6908,9267,3617,3038,8760,13414,2395,6277,4048,4803,2870,3907,2829,2147,1983,3841,9457,4888,1787,3328,6467,7718,10129,13991,17579,7966
MIMAT0000087,1,97319,26016,8125,14609,130131,12292,69131,20921,22317,20736,25706,25559,150597,67205,15976,12431,50693,12615,41245,30115,30902,70587,22195,4158,73299,43387,9801,102856,13737,257581,140555,29430,8635,23079,6816,21720,23474,18725,12654,12192,9408,20699,9611,5493,20893,58357,82779,43078,9568,22041,10667,49807,23249,52480,116195,16287
MIMAT0000088,1,5407,8953,4149,2404,16112,3482,24112,48681,11567,2884,5885,11784,42025,23459,3881,6623,27246,5150,6070,16295,27264,36178,5313,1706,37741,11640,1153,27767,5771,58879,34805,9843,2933,2507,954,5579,2988,13214,5145,1167,925,7307,2656,774,2323,8622,19667,3085,2206,7522,3923,20461,6215,14645,45297,6342
MIMAT0000089,1,3,16,9,61,4,120,1,5,4,8,0,11,2,2,2,4,14,5,0,58,15,1,3,1,7,3,142,44,106,8,3,14,1,1,2,3,4,3,6,3,1,4,13,0,0,1,12,25,8,2,8,2,5,18,10,14
MIMAT0000090,1,10,133,60,41,33,209,27,10,12,56,54,82,134,138,64,130,80,35,34,89,53,57,11,11,68,57,37,51,72,138,62,36,21,29,38,85,19,143,53,5,51,26,14,27,26,42,59,24,68,9,69,50,90,71,217,64
MIMAT0000091,1,8,79,135,55,16,135,6,35,16,39,51,42,22,154,66,108,28,42,23,89,90,30,8,10,58,45,13,28,133,123,79,42,14,21,22,77,144,69,41,6,132,25,7,29,38,12,81,24,53,17,76,159,114,17,89,41
MIMAT0000092,1,4209,16952,9287,25142,36257,10194,13190,3673,4720,11866,9843,6429,30449,7025,10401,13447,10222,16087,7596,18972,25422,19691,11261,4707,16009,4410,8560,6930,22483,19776,5425,6679,12796,7750,28903,10602,11385,23444,23860,2378,19505,10075,6262,9448,11301,16255,9423,4739,18377,16170,13717,34903,32038,75050,30047,11391
