accession_id,is_expressed,7262f244-82d5-4d3c-8762-782c5381a6e5,ed716c0b-4b09-4902-86b8-6955488d60c3,6a813732-f636-4369-8a31-04ef69340706,d7e60e41-5da6-49df-a8e4-c732699a6f61,ce2f555b-bfd9-4a8a-84b1-54feaf484cd2,f5b1694d-7bd1-43be-8ec6-2bcaad95d802,42f12ac2-0c43-4fea-bf8f-edc15cd33d47,0397db08-993e-4a47-802e-36f88161ec6f,7b9a5582-5ce8-45b7-a699-4b0d6e5559e2,e7b953fa-ad4a-4931-9ff0-43ed402d7110,0a8016e1-0321-4421-a5ad-db2fd9caf7ab,dd0e32d6-4704-4abd-82e4-2041fbc19a79,828a2b26-d2d0-4f4f-8ab3-22f3bf82b61a,a1f1b5f0-6161-45d2-a0cf-f62b4f48c8fc,d507dac5-5517-4f37-a9e9-fafda456ddd0,aeee0cc4-69ba-4335-8629-57d1ae11716c,6e528c0b-ea1b-4ac5-a2f0-9667a1ca1b44,404cd7fd-7dbb-4fc9-b3f1-e3b523f1b322,d464d804-d185-4dee-b822-ef874fad77de,0b4727f6-8ed4-4ad6-a3fe-81a58dd7d033,d06292bd-c8bb-47b2-9506-6f3c9e021d27,054fdd39-3fa4-4676-8341-6b66da8dc3f5,d3a5c8df-e9e4-414d-9584-1fc13845edb6,b5404c18-0496-4c3b-8d8a-2a0456d729f2,04ab7272-e2e2-47a8-8bc1-6c10f4b0624b,e6f5763b-ef3e-430a-b47a-dff65e2768eb,78090b15-811b-4b2b-9559-8fbfbcaad80c,13da461a-0f97-4b71-b573-7b8347073c7b,1bbd0662-6be7-4f97-9c49-e827ad5eca17,099fa301-2bd0-4cf8-b419-84c0c9e4441d,cc09326c-c449-49e6-85d8-67ff565b6d65,f2514068-0386-4006-9809-c0d8b29c6355,c138edb1-07ef-40ee-bb5e-591cffd94699,4c5502b4-f137-4b70-a5a9-65ee2245d94d,cca41100-3e14-4d5e-91f8-be8607823ac6,efc2c7f1-12a6-4cc2-bf88-73f2713bdd56,d98594fb-1051-44f6-b016-8c2d9284383b,65654739-bed4-4ea7-b75c-ca1f278adcc9,a012c66a-bcb7-46f6-a6c0-29a971ba543f,e0d903f9-3249-4af6-887a-080ad4024cd2,8ae26ade-1ddf-45e2-a297-61baeacadd6c,6cfe6db4-c7c5-408c-b43e-45f6953114f0,a83060e9-a15a-46c5-85f9-9dbd3cd0166f,e6844069-5753-414d-94f3-4e3fc0b2793f,7c275803-bb6d-4fbc-b851-5fcb393f8496,9c68a687-af95-43b0-918d-85e7079fb3e8,91a97f93-53f2-4571-a4bc-233643a1da0b,69a63fd5-3647-4681-ab0d-964d5dbe7287,d45379cd-88e5-42fe-9e61-29223c079002,dba8d64b-b2a8-426a-ad43-0ba21aeb5c51,9711f9ba-0f6c-446a-9097-f514fa6441d6,09cf7c34-2a62-4334-a246-73877305b361,bad24748-3268-4e31-8ae1-35a84c16acbf,2f1fe5b6-f5ec-41d1-bf98-3455ed635bfb,e12c0da3-79fe-4fef-aa84-195e53b32a44,a94f6890-7675-4166-a0d5-746e7c690c63,f2edea21-ce45-4fe5-b0de-499c2e50f0c4,935b5f15-eded-4c7b-a912-99cdd8b33594,e18f28eb-b4c0-46e9-9fee-7194d77c65ee,b7a062ee-2ea3-4fce-862e-adb86c42a9ec,f507feab-b895-4a33-8daa-44a681edd905,f4f9a228-3aba-4a06-a64b-241616713cf7,1e30fd9b-77dc-451e-9894-4740b51fe6b8,f3660d46-1b93-4a8b-8f4e-21cd872548ab,a0d63f75-62f5-4bc6-82b8-e3d41c5708f4,cf5bd0a9-6891-4bf0-8d09-4c235e208291,744381ad-64d7-47fb-8fac-b5b9c910ddbf,c4b1b889-0340-42f9-aea3-b7797232bb55,4a9e0961-41b3-4e07-a4ba-f7574662f501,83d0a04c-e990-4d4f-af6e-666d5e521d9b,9336dfcd-fb41-44f1-95b8-edfce624ea98,61df0f1a-f2c7-4b57-84fc-1571be570fd0,6307ea16-0d63-4fcf-843c-8d0200f9ed53,af9371a0-7b65-4e61-ba72-572c056f6265,beec3eb1-cc60-40d6-b83f-158b3d66e7bc,24c6eb66-7e03-4078-868e-d33df83f0851,871b733f-966f-4c2f-aeff-1fa373fdba3b,77cd82b7-c824-4d2f-99f0-326ccfa1d3ac,1f1f7941-47bd-4a90-badf-ba6bf048c9d9,9d110436-8434-4974-b3ca-311c11a447e7,e137d046-1182-4fc5-af84-84b2c7ed47f5,d77f7eb5-1943-4147-8a02-c33289a8ed75,c2a3f9ab-9dc7-48a5-9a8c-a2da7c11a793,53854d3d-1094-4e15-bf32-f0b3ce77d679,1e5f58f3-aa26-4fc7-a704-200bf205dbfe,9c935a84-18a9-48af-b515-edd1db7e4768,1846a6f8-8127-424a-b492-c09d91b91931,a9047869-3066-4e8d-805d-3efbcadf5355,87bff627-7d8f-41d8-b9b7-26613ba86941,2f6dfeec-9971-4a74-a4cc-412b441730c6,f37b4d0b-91e7-4b21-bf66-325387326d94,a53818cf-10e2-4384-85dc-962ca915d9ff,8eb1a36e-89ca-4080-afee-3ffa4a874bc1,803883d2-6f3f-4672-918c-c80aca312bf9,88e4b726-8b27-48e2-84a2-0f3de9b414e9,d1fbd937-025a-4aee-ae98-86ab414fd224,b11194e9-d6e1-4f0e-b88c-251a369fba1e,c4b55e40-cf48-4d8d-8e7d-5fb8cfcb4a75,bf48419a-0ff6-43aa-a0ed-dfad83133863,7f008fe1-75ea-44ca-b9a8-27c4222a3ebc,d27b5727-57fb-4a17-bb14-fe8003dea343,c5b2ce8f-1e3e-4560-ab85-fb0b0a89c67d,014808e2-fe91-4ef9-9b5b-882a9b1d350a,1cb6a927-ef19-487d-a0c1-f75b6ddbcd74,c4c0f12e-f16c-4c27-b711-bf6c57bda4e7,bc98d560-25d3-4e7c-8212-00d1f5148dde,c1cd6d37-7a60-4c0e-bcd6-8a4d6d388699,5c16f348-ee14-46ea-8b6f-4862fc7b9b45,70db5d78-573e-48df-a32b-66d0f1a9d9f8,5fe54448-f2fa-433e-b24a-6ddf81cba9d4,571f1dd9-cf46-472e-96b4-0835b2d711a8,cf5ab327-47ee-40eb-a06c-3a8fef2a1ebb,87ca2702-d747-4c73-92ff-a8b7f30fb306,50c0b143-29b8-4060-a63e-d263ae52b029,cb0cbce4-ed6f-4819-a83d-00f7bfe400ac,f88848be-c988-4cef-805f-193477175d27,15a656bc-0f5f-4f06-80ad-0584bf873805,1c5f84e6-1571-4cb9-b7b9-bfa6b13e121e,4941a6e3-84e3-4afa-8ce4-a6bd1420a438,e841eb85-0fa6-43bc-8849-716e5fac921c
MIMAT0000062,1,29680.756395,36552.149485,9129.213494,21808.639436,24950.421218,34548.018792,13442.672413,24241.084739,30808.798409,23248.827649,26183.344715,12492.596769,20727.311258,75082.985782,29201.527069,24615.616811,51900.021069,34893.490411,30520.298295,32754.519446,18652.310781,43737.94099,41188.982773,35615.744985,23470.732066,40441.64927,27807.259114,14494.995852,32267.311029,46452.028555,24251.307835,22178.831864,13000.20349,5212.760014,28263.640235,59491.55788,40261.695243,22840.720984,46872.249424,18285.469872,91918.064773,31975.434955,47626.025668,9619.071239,58201.374978,12294.640344,52517.902222,35841.226669,26438.214188,31957.031892,23471.883516,42068.877954,14596.119286,34104.408377,15699.40688,33172.23002,19673.587327,10561.575695,13011.215874,21842.493012,36597.493058,33827.463577999995,52046.91711,26773.245561,17512.036618000002,55609.55662,21277.634262,36050.91216,19023.056385,18659.416621,21793.291076,54387.523444,28129.45271,24401.40724,17389.954496,49830.438881,33466.718192,25206.282527,25781.621083,43455.92147,35089.738627,11880.194793,27125.744076,41416.062103,47080.822968,37086.145909,26284.419011,73454.502254,20552.230886,16238.772848,24348.437816,16931.660224,19912.09823,13323.16189,19869.691403,33826.824832,29639.374534,27359.288277,39971.424004,21864.495422,37807.770252,11288.237333,8626.25538,67057.823923,23373.158656,15431.83399,21099.960476,13529.094021,15102.975865,67311.531186,24870.515929,23405.609655,28555.385023,29811.876795,15005.886935,24087.114784,21406.478716,25277.949547,80276.552538,17816.010013
MIMAT0000063,1,64899.079582,21448.774247,8337.803743,23530.070685,20270.602945,52442.931342,17742.458689,59723.85532,26526.779967,19358.39883,21573.521879,11609.785817,60766.827787,101928.355605,47421.534857,9037.264887,36489.675517,21181.672148,25713.65073,38651.850671,29105.549466,34826.762951,71364.462584,61549.191016,6768.774019,20501.369693,33168.012438,25373.002057,19871.223697,76179.173671,77095.706232,30354.08101,11068.84074,4000.140404,30468.982199,37798.95384,23750.58994,18305.786033,34426.720612,6305.908170999999,49253.286987,22990.088982,35760.771025,7365.364575,40042.744794000006,10109.38997,70412.395035,24042.604382,44499.080436,22689.805134,12387.267137,33013.748561,10446.105093,35751.464983,19861.630769,30440.478210999994,20769.477738,13085.567856,16194.165626,50421.393847,51324.289169,52487.656513,42811.753395,26489.3617,15843.84203,140299.706973,29538.070517,35022.338205,22631.762877,22918.349357,42345.318366,56296.227289,26346.977409,18163.636085,14234.878246,22970.626168,20347.09589,29817.889846,41188.452137,30109.670193,12568.756922,10617.376936,66326.937561,101540.189589,29896.172711,57069.189035,14704.014812,48355.656888,22656.296692,16497.474844,10217.749868,16088.24103,17550.334265999998,24529.8312,23154.411486,20853.816301,21205.879915,16062.040245,45578.297052,31685.628023,72616.897155,10724.632849,13732.13242,36722.661096,51852.990582,19631.898898,19440.387391,9780.949936,13643.789728,66176.459168,27929.562532,43471.015183,13296.837698,9445.317282,13243.951379,32331.799035000004,22526.135719,40233.343432,41654.931654,22743.128759
MIMAT0000064,1,908.30468,2111.179485,1222.48488,1273.364927,505.27186,1178.909614,654.112162,2650.006142,2613.186361,1214.427399,1596.471702,490.711407,858.739526,911.513744,1251.531562,1425.28757,1702.486302,307.550479,191.376926,500.218649,1172.906752,385.391851,1174.544469,709.393866,985.822891,788.3448269999999,2332.012255,294.406135,841.4204050000001,3287.362682,609.568094,1401.7966290000002,2264.905469,694.059671,1693.187674,11640.945934,335.562236,907.762306,5573.897066,508.076264,1250.198035,1198.438813,594.5876059999999,193.274534,1177.063307,1149.399981,3543.738087,1215.781096,657.227387,2375.684334,2011.875729,923.123548,1809.45492,311.151501,506.26125,1149.034721,913.420377,996.53307,766.8159009999999,2210.10756,1229.248968,2228.277228,1884.177969,4418.126248,2044.510316,2615.48613,2230.175798,2546.714543,413.980387,1841.560438,217.678121,1435.13235,521.922741,1279.637142,1516.075602,4589.05863,1081.214547,1711.364597,641.653679,3906.35547,823.542952,578.727524,1748.2755050000003,322.103749,450.387096,1571.427599,2014.556848,334.915243,2295.514313,712.9034459999999,1105.623659,1065.687778,2578.075059,2081.966682,2584.568206,1181.836121,1972.223032,1843.705367,1211.463029,606.117175,1424.593358,504.222865,2002.630322,972.534792,2816.757061,1057.06533,540.074127,534.858804,1054.173568,303.44535,2608.362639,5004.751183,500.399129,1282.548661,428.668556,3357.805475,1166.205478,580.3152100000001,1420.125466,620.655318
MIMAT0000065,1,269.065417,171.62926499999998,320.543051,250.39,203.400175,408.828436,128.152588,116.81525,138.056086,279.105243,631.163232,81.589575,345.430998,201.612903,320.635973,136.423706,507.796037,242.03220800000005,480.294348,216.908972,293.732628,87.50443,214.569221,159.188601,104.285397,224.612213,177.226169,305.922018,136.627459,130.787997,180.949731,215.153912,249.493494,81.064167,122.58119,174.976641,205.667174,340.491625,248.305257,84.408837,283.944581,210.689622,301.509312,232.696957,343.404265,261.85927,168.074804,255.100735,243.008448,456.539913,296.532516,258.834995,109.199026,116.485048,420.0044170000001,539.867481,447.880992,163.297436,254.762414,208.486815,70.316524,227.388524,195.95450800000003,200.42318000000003,258.494483,212.850905,266.236666,155.928352,650.719546,187.26854,327.901904,287.248284,242.108648,467.262555,167.051989,111.919038,417.981047,254.601459,340.46929900000003,294.62449300000003,269.110493,257.41702,86.852484,358.951909,276.68831900000004,333.379048,275.452951,77.541953,284.838024,213.71035,279.495577,181.419229,646.284567,92.069072,242.385605,202.600476,221.875091,221.726982,266.014519,280.620885,281.25019000000003,178.665746,385.248952,444.357695,360.83528,208.773404,244.658712,117.48002499999998,536.2138229999999,215.415129,291.893761,119.59643,150.741356,88.555496,154.221183,190.480835,238.56092,173.61039,360.56764,282.116055
MIMAT0000066,1,1382.093783,1816.758551,1237.959373,1767.555713,1314.029689,520.107185,2123.862146,730.506659,903.57074,1307.107384,2351.104621,729.023407,608.616519,897.15082,550.863115,1151.455469,2206.068267,759.24116,2965.7250120000003,1229.045441,894.2076860000001,782.575077,655.1666349999999,943.153826,602.085221,2454.879369,682.185457,2385.290507,1109.950456,1420.5847709999998,847.127803,722.773296,1344.787622,490.981406,875.420008,1312.824737,1324.929603,595.6988220000001,895.010732,525.526165,1136.1609939999998,1930.641883,2267.944219,736.815555,1230.908492,1027.739702,1033.563445,1269.531416,2176.950649,2099.778742,912.324497,3796.519651,992.267175,920.861526,1207.595644,2124.820043,1221.104451,594.570152,969.740798,1617.062034,827.348096,927.797301,1232.790728,952.744798,938.711879,1319.675617,633.6432619999999,1625.319722,1332.7538000000002,809.767844,653.588252,1129.029932,1279.603734,1016.204078,613.837263,2279.972279,2451.417316,764.542353,2169.00372,1188.027603,1821.764555,1092.025664,712.544868,891.9796170000001,1597.875035,1400.949677,1299.413739,402.558223,991.796666,1000.528651,980.135849,1544.666577,2517.154792,358.959773,1250.130087,1530.905345,1456.755649,860.822393,1002.353681,802.9706329999999,1277.1747799999998,727.164382,707.396779,1680.406926,768.6432000000001,599.323648,763.061438,1419.205918,540.777347,857.000086,1918.325791,1029.313541,802.399846,700.612538,936.105998,2156.266296,884.420975,657.09112,3222.395849,508.571372
MIMAT0000067,1,2854.433108,12113.119039,1410.38943,2139.022455,3529.638718,5325.252453,1087.962069,2885.281931,6195.805075,3639.021041,5189.180598,1621.81294,2441.23924,7517.129116,3574.302658,7079.441479,11123.577747,3367.639213,13772.553667,9187.644286,2283.655514,8918.625227,5915.407017,2116.203813,1597.684867,10486.307459,4093.450957,1896.115692,3371.19397,4969.523452,1578.002976,2101.196657,3207.141532,949.370004,4008.237006,9148.278708,14697.625951000002,3317.047452,9176.793962,620.4861060000001,9365.579034,4852.204632999999,8111.443621,2362.554418,12150.185148,2296.482627,6737.159346,5735.074047,2577.362295,5217.816792,3595.907704,2825.888412,2709.670028,5678.383731,2870.361948,4947.108634,4469.713188,2014.839132,3298.003749,3303.374104,4378.010024,4175.087858999999,4692.141472,4653.814506,2580.789915,3298.544033,2100.607293,8471.646279,3782.81624,2643.028291,2722.915133,9043.330131,8074.521831999999,4845.549492,6052.482690000001,12678.990113,11207.428217,4112.736046,3739.210036,8962.620010999999,16257.67816,1764.44315,1835.71882,2822.060864,10005.356996,3657.319681,7857.263124999999,5043.526605,3874.731037000001,3263.501649,4361.652064,3505.8364570000003,4112.559456,1496.122411,4704.124906,11898.612056,7170.5995330000005,2682.133585,3865.437785,3464.381498,3344.431619,2937.827443,2010.600986,15708.675888,2459.124462,2246.713773,2929.631247,1639.997525,3050.7144150000004,3577.133894,3744.413152,3385.297874,6092.851499,1453.033055,2155.779977,4875.844821,3709.746999,2275.610297,12963.400394,3158.174848
MIMAT0000068,1,279.928306,62.791195,162.113729,166.377564,242.143065,258.037672,56.066757,146.97881600000002,163.134162,302.54156,283.203201,91.568158,95.307993,138.309642,186.07399,170.261083,310.261272,224.303734,269.162387,127.742312,100.609208,53.992096,19.193775,125.959912,375.590375,154.145636,89.96595599999999,151.709285,113.790593,113.54585,132.426899,229.537456,248.608765,189.289005,330.801294,44.993993,144.327843,401.224477,243.363858,154.208451,296.190171,82.010369,154.970164,146.176949,160.40594199999998,127.453627,57.956828,275.577049,236.565041,246.180957,113.634724,422.654614,158.383711,156.362813,141.992014,290.611894,236.515411,267.97528,128.329455,132.606456,157.083245,241.722471,179.266075,167.50911,108.324323,148.995633,170.391466,104.758959,262.417219,113.606121,223.217005,170.796277,75.01399,260.489679,129.228897,87.720328,130.653677,175.638108,324.993422,233.476012,141.850411,158.197809,107.531643,214.735833,201.367611,275.037713,142.511339,556.817215,270.829598,110.872285,169.21841,50.460978,210.130774,108.509977,144.245782,205.231653,113.178708,148.638288,235.162321,321.307921,222.826237,83.863512,171.36936,293.94204,97.68174,139.182269,277.165814,232.598642,126.067292,132.563154,156.455056,58.164384,142.453172,148.797332,145.10057500000002,91.17528,262.666379,99.601181,122.649779,176.894389
MIMAT0000069,1,2708.201906,420.701003,2604.872851,1671.18851,1353.5797289999998,2773.904978,1884.91097,1108.373843,580.342185,1061.026041,930.771493,716.69692,1338.182269,945.293214,1014.996828,388.324172,899.1782519999999,987.398907,1623.2055839999998,828.427854,1439.752436,415.180595,525.6802729999999,1097.319486,1314.973675,508.240182,333.821049,1575.673644,445.318895,431.894775,2272.486032,1042.807247,718.399703,1124.86974,666.640169,200.97317,975.656217,1929.883275,908.59958,2040.421282,909.234937,475.75076,1096.433997,969.861382,764.752267,583.969347,397.326262,1053.676949,3546.634614,1230.9047770000002,484.119993,4451.798124,551.409955,850.550733,1766.274503,1239.571501,2178.403254,700.922837,1580.411998,1029.173424,302.554589,1254.871911,698.222523,635.946868,840.7748220000001,2307.81982,820.008932,568.74089,3417.686792,1326.961012,3990.211681,1004.814461,379.038943,1981.634747,551.586753,345.587841,537.008762,1126.150221,2838.0378,645.632644,685.7454170000001,1829.565358,1281.517257,1701.368525,572.591105,1293.359164,534.870144,1799.963206,1064.640484,912.152196,680.6763010000001,761.720466,3053.959462,448.288692,737.6953110000001,675.773453,346.259609,1157.852881,1188.838083,1371.39247,2711.2790130000003,1226.6992249999998,2869.440458,1731.5023230000002,774.5147800000001,365.95338,963.236745,1021.899108,1598.373555,977.653272,1054.320258,639.154692,741.792506,685.552079,624.347045,441.358033,1117.163338,1420.7001699999998,973.816539,1630.935779
MIMAT0000070,1,345.94125,220.46686,581.398778,453.831872,782.122095,174.175427,274.994095,222.661939,281.431761,661.5433459999999,4111.626959,126.199704,134.97934,226.881009,285.944212,765.0111509999999,1236.304254,520.292163,425.556432,218.173749,284.192099,280.510653,152.977258,290.557835,1481.993254,725.805739,541.486823,183.753488,527.216623,262.417078,204.200257,888.184099,605.15443,423.288651,347.033506,244.96729800000003,324.01600699999995,469.710458,205.685698,425.69648300000006,814.331623,333.02553100000006,381.001778,346.428904,300.478732,834.241923,60.532688,630.499811,659.988846,469.496807,512.618863,1684.884774,245.923426,134.849806,521.522074,946.724132,347.81678,515.014988,606.246044,596.7290439999999,348.357093,876.976941,374.143913,459.033735,616.7066980000001,182.535777,338.120566,334.32975200000004,1238.809686,244.849724,403.23072,756.383512,169.872949,493.017186,475.940573,216.654083,411.337639,228.772326,2035.673087,370.067421,381.3749590000001,246.665712,121.120809,203.300195,443.469889,572.805817,322.00838200000004,452.878002,815.2904769999999,207.818587,542.829843,132.159703,1017.986488,186.330263,245.678886,172.341965,218.513347,440.993065,400.39298700000006,293.784338,740.4896319999999,113.554323,838.9128000000001,580.420706,346.42322,352.755061,263.478612,433.908633,427.83018,502.807906,662.015047,87.573341,294.748557,302.414009,296.83432,116.727584,1101.370106,201.277388,373.627571,301.177952
MIMAT0000071,1,73.533407,126.977749,52.318521,86.483387,154.16441899999998,65.315786,22.693688,100.910829,105.125276,98.006421,658.792811,56.349635,53.217661,149.214826,86.72940299999999,411.061457,335.018962,84.017548,152.278415,154.93498000000002,49.148177,133.428741,105.136054,146.438057,178.425797,239.586361,399.097095,33.546278,165.764151,152.23554900000002,42.457479,225.342256,130.055118,106.135556,115.864412,140.481246,224.429798,83.34614800000001,95.739591,76.292601,212.001749,131.397829,106.792912,158.736305,184.881026,166.84838499999998,74.055948,207.322672,132.550064,123.471564,154.759671,187.573462,89.79589200000001,53.520157,93.555486,318.55534499999993,122.538528,93.791348,177.00614499999998,83.984087,206.433834,233.903954,91.517215,183.378393,246.623324,74.17531600000001,63.896801,174.598267,165.341637,185.712291,55.388834,397.04589,61.51940999999999,177.339016,206.451042,150.107627,155.56645500000002,54.610168,232.13816,126.267639,92.40541100000002,60.82168,67.35498700000001,91.485089,101.452384,184.116156,121.044114,139.410532,142.88596,159.613243,136.895792,97.317599,183.643702,76.724227,81.67341,96.914948,66.114294,167.095027,110.38231199999998,73.595669,112.092468,65.111424,136.165578,235.95738,112.0938,56.392816,57.030003,118.070375,94.693079,224.21815,95.741153,50.975528,132.61095,125.303016,83.743761,101.047761,151.282535,138.334973,181.703377,141.058029
