node_a,node_b,association,is_association_of_interest
hsa-miR-15a-5p,hsa-miR-30e-5p,1.0,1
hsa-miR-381-3p,hsa-miR-299-5p,1.0,1
hsa-miR-378a-3p,hsa-miR-378c,0.3333333333333333,1
hsa-miR-151a-3p,hsa-miR-212-3p,0.3333333333333333,1
hsa-miR-150-5p,hsa-miR-378c,0.3333333333333333,1
hsa-miR-26a-5p,hsa-miR-26b-5p,0.3333333333333333,1
hsa-miR-501-3p,hsa-miR-502-3p,0.2857142857142857,1
hsa-let-7d-5p,hsa-miR-107,0.25,1
hsa-miR-1271-5p,hsa-miR-378c,0.25,1
hsa-miR-378a-3p,hsa-miR-150-5p,0.2,1
hsa-let-7i-5p,hsa-miR-223-3p,0.2,1
hsa-miR-151a-3p,hsa-miR-590-5p,0.2,1
hsa-miR-18a-5p,hsa-miR-181b-5p,0.18181818181818182,1
hsa-miR-378a-3p,hsa-miR-1271-5p,0.16666666666666666,1
hsa-let-7d-5p,hsa-let-7i-5p,0.16666666666666666,1
hsa-miR-1271-5p,hsa-miR-222-3p,0.16666666666666666,1
hsa-miR-181b-5p,hsa-let-7i-5p,0.16666666666666666,1
hsa-miR-18a-5p,hsa-miR-502-3p,0.15384615384615385,1
hsa-miR-30c-5p,hsa-miR-429,0.14285714285714285,1
hsa-miR-181b-5p,hsa-let-7d-5p,0.14285714285714285,1
hsa-miR-502-3p,hsa-miR-374c-5p,0.14285714285714285,1
hsa-miR-362-5p,hsa-miR-502-3p,0.14285714285714285,1
hsa-miR-362-5p,hsa-miR-128-3p,0.14285714285714285,1
hsa-miR-30b-5p,hsa-miR-590-5p,0.13333333333333333,1
hsa-miR-155-5p,hsa-let-7i-5p,0.125,1
hsa-miR-193b-3p,hsa-miR-374c-5p,0.1111111111111111,1
hsa-miR-155-5p,hsa-miR-181b-5p,0.1111111111111111,1
hsa-miR-193b-3p,hsa-miR-193a-3p,0.1111111111111111,1
hsa-miR-155-5p,hsa-let-7d-5p,0.1111111111111111,1
hsa-miR-221-3p,hsa-miR-222-3p,0.1111111111111111,1
hsa-miR-106b-5p,hsa-miR-502-3p,0.1111111111111111,1
hsa-miR-96-5p,hsa-miR-182-5p,0.10526315789473684,1
hsa-miR-18a-5p,hsa-miR-362-5p,0.1,0
hsa-miR-18a-5p,hsa-miR-1271-5p,0.1,0
hsa-miR-18a-5p,hsa-miR-374c-5p,0.1,0
hsa-miR-27a-3p,hsa-miR-23a-3p,0.1,0
hsa-miR-25-3p,hsa-miR-32-5p,0.09523809523809523,0
hsa-miR-146a-5p,hsa-miR-1271-5p,0.09090909090909091,0
hsa-miR-18a-5p,hsa-miR-26a-5p,0.09090909090909091,0
hsa-miR-141-3p,hsa-miR-200a-3p,0.09090909090909091,0
hsa-let-7i-5p,hsa-miR-27a-3p,0.09090909090909091,0
hsa-miR-128-3p,hsa-miR-502-3p,0.09090909090909091,0
hsa-let-7g-5p,hsa-let-7f-5p,0.09090909090909091,0
hsa-miR-18a-5p,hsa-miR-378c,0.09090909090909091,0
hsa-miR-29c-3p,hsa-miR-128-3p,0.09090909090909091,0
hsa-miR-130b-3p,hsa-miR-429,0.08333333333333333,0
hsa-miR-106b-5p,hsa-miR-25-3p,0.08333333333333333,0
hsa-miR-362-5p,hsa-miR-130b-3p,0.08333333333333333,0
hsa-miR-181b-5p,hsa-miR-27a-3p,0.08333333333333333,0
hsa-let-7d-5p,hsa-miR-27a-3p,0.08333333333333333,0
hsa-miR-193b-3p,hsa-miR-200b-3p,0.08333333333333333,0
hsa-miR-27b-3p,hsa-miR-27a-3p,0.07894736842105263,0
hsa-miR-29c-3p,hsa-miR-29b-3p,0.07692307692307693,0
hsa-miR-330-3p,hsa-miR-501-3p,0.07692307692307693,0
hsa-miR-27a-3p,hsa-miR-222-3p,0.07692307692307693,0
hsa-miR-193b-3p,hsa-miR-502-3p,0.07692307692307693,0
hsa-miR-18a-5p,hsa-miR-378a-3p,0.07692307692307693,0
hsa-miR-155-5p,hsa-miR-27a-3p,0.07142857142857142,0
