accession_id,is_expressed,64efe402-841b-49bc-a370-02a24880dd19,4ebd02b1-6eb1-4923-ad2f-5f4f107e6622,03589e93-5465-4e5b-91aa-be97a386e097,84d88e83-f246-45c8-a27c-5f146cb5a4b4,308d2039-4905-49de-861a-c70f97669068,7e17b2bf-91b2-4ea2-acc1-59e1537913ce,f041b9ca-ace6-4425-a928-1ffbf2737243,29cea98e-c370-473d-af6d-393e87c1bd31,7c3c4540-a63e-4737-a23d-a9c999c53f39,ef076f15-36a4-4e8a-a624-8cdeb9c4fa2d,d4a3af62-0505-49f6-9f34-168bec5cb0d0,485f5497-8ed6-4c98-a733-710988850a13,c5b7ba42-889d-4b7a-a810-298ae179e9c2,5ec7ec6c-20c8-48af-964c-54125c9313c2,c42db931-0c5e-42bc-9590-2edbe16d7e56,6c67482e-8a8a-4a5c-b8be-d573afb35d54,f3533714-4d93-4e83-9f58-3c9dda0effba,27c8aced-b610-4c85-b7ed-3b111b55ef79,8c9b3702-7326-45fc-8457-168dd4921afb,ea6c109d-9823-4fa7-987d-78f2ed377312,3b8748ee-d541-4219-ba20-437311ae376a,5074a94f-c14e-441f-b006-cd8895a550e5,3f0c486c-70c8-4537-a4cc-1ea2e302706d,5e01bf11-33c4-4d86-a97e-54ef83a86a04,3e75bf39-6c1e-460b-956e-3e999daa919c,1c73346e-7c14-4b9e-b43d-4478181e0a4a,4be7af1f-00a3-400a-9584-04756550a692,86723871-7176-4e6c-b9b2-dcf4acf99075,600fc778-f0e3-4362-ad0c-cdb64fc76e7b,82bf32b4-0410-4426-9591-33210d995b98,3f5ad0e5-ab95-4c1e-8dfe-09cab1d1500c,cd746011-8fd7-473d-84e7-f39ec60b6717,12c76136-cc83-42c0-886b-4b4ea167a0d7,268512d6-01f2-4afa-bfbc-55698afe6a1f,7734be37-d611-4651-83e4-7a9e78daf8a2,38a63af6-4f43-4eea-aff2-a42b4118482a,803da4bd-a731-423b-b689-9c876dec117f,1f7bbed4-631f-4f97-84a7-9f9bd9eba94c,acad335c-080a-442e-84d8-235fa3116bc6,8ca0e4c1-92ab-4653-87e0-cdcc630d8db6,af1bb8e0-9d0f-4e54-9ca4-9b311129a412,42a6d971-d671-4860-835f-15d184d416b0,bf370830-8f1c-4ca5-a838-aba83f5a964f,3a587350-9c2f-43ea-a607-1eec5356f34b,80a3007d-3d24-48c8-bdb4-38605dcd408f,8790fe0b-8d3a-4f2c-8201-1231da243697,f52a43ab-8cf4-4611-a13a-195778748214,c786cbe6-bedd-4ff1-9c19-8026aaabc738,8e5ae73e-8a65-4060-874e-9c0ab8311fcb,afd9ffe6-e019-4ea3-ab5f-41a57f9db4de,85fb34fe-c751-4806-87a9-419e9ed39dfc,15a6e18f-00b4-4369-8588-294605e0e952,3ef8d2e0-14fe-438a-bbcd-d0382a4085de,485f30ed-85f1-4402-ad3e-8e1ff3a75a36,cea36b7b-8225-4b98-8371-66ee50eb0641,9b71b456-248a-4ec9-8fd3-bc0c1ea2d852
MIMAT0000062,1,60950.731706,30125.815394,27341.392529,28001.19711,46630.518467,56803.204359,20024.823655,35655.250612,42774.191206,33580.992506,32673.221604,40962.423188,40309.758235,37344.459135,25203.967104,31224.191645,34974.271019,43694.341296,95882.340547,49237.504237,34075.216144,26148.132014,28363.357614,74507.471066,40852.27035,59884.351813,33168.369121,72982.2341,24971.735995,36484.025999,53976.388945,67300.753721,26241.464915,50462.666577,49772.251876,36874.805784,36894.231078,33962.955381,25842.161047,53887.870976000006,46617.071136,30814.188321,59193.308785,52308.659185,57937.679213,39414.822014,36372.495345,68632.648873,75542.717038,57772.052943,29467.186554,69883.414205,45380.824626,69339.468378,55732.567177,38876.296528
MIMAT0000063,1,39626.374017,52526.752577,48491.499709,20595.921839,42494.692747,38314.543058,41622.626471,44664.690374,27989.287844,65878.723103,60758.814709,30188.380896,43015.427585,29805.432429,47420.24698,59460.454579000005,36848.376434,28704.015104,59430.771372,24960.587425,53581.654337,42168.501457,37502.331504,37692.858413,33835.964862999994,38190.612457,59749.001315,44608.604379,34456.836668,35428.216552,57018.620693,51189.705383,65323.34272,33894.608047,29968.296172,17894.759551,28213.942181,27987.030657,42691.911726000006,28167.720543000003,33649.60664,31762.103181,35355.458365,22513.920049,43292.98054899999,23329.937897,69094.960988,38061.511504,55313.546721,26368.317444,61389.499469,67042.0434,67871.429795,40896.129336,44530.70709,34126.342221
MIMAT0000064,1,9332.522029,8758.645939,10223.04071,4542.517238,10110.721933,9781.619335,5854.780079,8418.600839,7847.746337,12384.688021,11308.335523,6706.549924,8304.227628,6690.697156,8890.918310000001,13173.095575,5933.630912,10368.9562,12405.59566,4343.763557,8832.991707,8707.564106,9443.093941,8425.453399,9575.710562,9956.07735,11220.201019,10764.227956,5852.691852000001,6845.748479999999,11241.112678,12929.851656,8326.475477,9827.255078,9899.650564,5126.462866,8411.282316,7009.942177000001,6722.814362,8341.943452000001,7187.986934,7245.487593999999,8838.073816,7562.492038,9521.240079,6890.7688,11244.708977,8255.419359,9582.377434,7550.309275,4913.654776,12070.790488,15259.746296,11802.891345,1470.875027,8818.789975
MIMAT0000065,1,158.75690699999998,183.305348,117.337626,183.759406,229.3978,155.60897,187.780429,132.056484,82.831726,139.740651,121.484239,202.499621,212.875577,119.569568,124.414967,159.155601,142.55636,160.259272,260.109942,268.652332,104.658318,112.819504,85.830004,187.754912,130.635976,157.130682,153.984662,326.019688,299.83493300000004,132.82682699999998,160.425616,242.132054,90.317184,117.02186,169.426362,250.761894,120.988607,74.18486299999999,97.944684,282.411933,177.91697499999998,132.151653,179.50545499999998,241.524284,115.337501,145.271669,178.185105,119.766528,127.225643,295.165105,128.142856,225.031568,160.205734,109.187006,203.944856,133.524064
MIMAT0000066,1,1203.951691,923.040132,823.088938,930.615577,1982.930139,861.356363,775.039552,818.522516,705.74869,815.269088,699.7776319999999,1718.434276,1120.54374,819.027915,716.68206,730.452959,779.84102,854.370923,1276.736828,1602.943183,912.994904,530.362272,763.758936,1403.728189,997.385408,890.561252,650.280533,1975.952021,1196.115687,1160.407424,829.451178,1574.755134,684.10461,1335.42596,811.446768,1505.91953,846.4912029999999,859.981873,751.453391,1904.788146,1634.435688,745.216085,1875.318037,2283.4161000000004,1313.581953,736.240762,648.225121,1743.625426,1651.295034,1848.128043,696.2806449999999,1202.251983,1090.23903,1660.189649,1290.964076,1096.283618
MIMAT0000067,1,15260.168973,3146.431662,2755.708668,5422.427419,8073.91386,12099.373979,2235.554008,4328.265098,7788.420908,3443.015906,3092.875056,9754.044207,4434.32997,5728.941935,3086.614415,3698.190289,7423.145028,6816.326564,20825.510186,17831.621556,3349.066117,2565.537627,4128.038897,22906.099027,6727.596861,11596.70654,3515.059851,15202.992196,3288.512135,6210.347286000001,9472.917935,11593.043578,2742.663774,12307.086017,11273.679742,11919.953034,7308.226623,5700.632081,3434.593627,13682.054671,12242.382226,3809.544629,15010.847419,20901.018355,14070.024529000002,10442.018696,3891.194033,16648.424172,15452.052641,12715.346369,2147.0543230000003,12195.113483,8630.108952999999,16179.076639,10537.150921,6310.288765
MIMAT0000068,1,46.055758,64.668638,36.668008,146.397535,99.424228,64.389919,127.222513,58.059316,58.206077,61.914793,38.718661,110.62479,63.793331,84.596651,41.903654,46.321407,77.273542,58.770363,51.060314,173.750541,91.044225,59.727973,54.316302,95.226822,80.439336,67.011614,58.713576,109.396339,174.097703,112.159275,55.81718600000001,37.067130000000006,63.894602,33.127512,74.473125,149.64822800000002,76.368695,60.121381,50.604753,112.505567,84.016349,66.075828,84.217318,132.775129,29.625342,63.494588,63.286434,29.211347,51.300662,75.376291,65.77244,50.007015,44.401589,32.830717,227.292079,71.139869
MIMAT0000069,1,337.019775,496.878458,336.482897,622.570765,959.804844,263.772738,3416.687824,204.915235,147.194217,450.352294,425.194836,806.8734820000001,239.918403,260.87906,456.62021,338.502587,301.100353,198.835417,415.580583,1381.977816,254.413305,532.574421,296.68998700000003,646.154477,186.44466,254.181986,683.145364,676.521845,4083.2359,546.429907,354.029283,315.070599,490.499164,215.974165,217.523592,1176.288988,134.288774,127.274503,385.793231,996.018675,672.836809,155.00494600000002,801.84376,964.832612,188.394172,397.273542,1215.959733,174.683864,224.843477,602.658111,478.929201,359.425419,639.022874,177.335619,677.756137,232.025423
MIMAT0000070,1,185.848526,154.925587,100.082093,361.800156,289.941047,181.026044,309.914041,244.759863,166.782798,131.78512,120.063369,187.812146,226.050286,208.89229,161.566661,167.469701,213.612491,226.278845,239.96058,336.169525,548.818001,123.327205,89.929349,263.70504700000004,130.012414,275.440843,173.18658399999998,267.137805,343.896694,205.667344,234.197981,159.029943,100.405805,101.103447,204.490792,251.435985,170.75696899999997,149.776073,98.488821,282.411935,157.442402,174.877376,205.99635,219.395095,153.016336,120.071483,165.896477,98.734356,143.935004,206.404236,189.757267,218.780691,123.004402,106.69983,275.35989,185.328479
MIMAT0000071,1,113.24298,135.850665,69.022133,117.804267,48.878951,140.923549,89.05575900000001,147.994336,183.01333900000003,84.397819,131.785533,84.99984,105.397679,114.843499,141.69482499999998,138.964221,198.068961,128.414539,176.306915,144.005204,331.843441,109.501283,72.25093,185.056174,118.476541,178.38954,115.211544,123.032145,88.66086800000001,100.565281,164.719246,73.53640200000001,134.995363,62.813205,132.810408,68.083202,151.450276,97.389606,98.488823,80.36112,86.84042799999999,108.304739,64.447992,77.136028,130.293985,85.73005,129.337809,82.66811700000001,141.589828,86.295289,136.458912,106.264908,87.60313500000001,108.192135,122.91626,118.566448
MIMAT0000072,1,2.709162,2.791452,1.725553,9.149845,4.443542,2.541708,7.633349999999999,2.276836,2.798369,1.729463,1.776085,3.124994,2.080218,2.363035,1.727985,4.750913000000001,6.661513,3.106803,0.91588,16.053039,0.850881,3.871257,2.56209,8.096209,4.3649260000000005,2.310745,5.169749,1.859428,14.508142,5.796996,1.56132,0.597857,2.402054,0.860454,4.344266,8.089094,3.003263,2.109522,1.6324109999999998,8.265714,2.824078,1.987243,2.767704,10.1162,2.876246,6.176516,2.764941,0.292113,2.931466,3.874482,3.024022,3.47271,4.800171,1.741023,10.300245,2.188919
MIMAT0000073,1,10.294816,19.074922,8.627767,22.112128,5.554425999999999,10.731654,22.900053,4.553672,11.753151,7.955532,9.590861,5.937487,18.028551,15.123424,21.59982,15.04456,18.652235,14.757316,16.485841,18.885928,14.464971,11.613772,11.016986,26.216292,9.976971,18.485963,28.433618000000003,20.76361,34.927008,17.138945999999997,12.490559,5.97857,13.931906,4.302274000000001,21.10072,13.818868,8.151715,11.250785,10.882743,10.102541,7.766216999999999,9.439404,7.116956,9.800069,10.642113,8.153003,27.034983,2.336907,6.742373000000001,6.692287,20.790141,11.807212,20.400729,4.476917,20.60049,13.863154
MIMAT0000074,1,172.844549,105.609934,53.923541,88.82975499999999,122.197374,82.464281,92.109099,100.18078,83.391399,77.825858,80.634276,88.749832,79.741666,94.994006,100.223168,101.748732,73.276633,129.967938,236.06809,180.832764,97.000389,74.659968,48.423496,312.66782900000004,62.979634,176.540941,168.755371,237.386959,159.052222,112.663362,86.262923,114.190673,51.88434,62.813205,141.809245,150.659364,79.371959,50.628532,59.310947,168.52875,114.375197,69.05669,85.008088,128.665424,117.350874,75.84762500000001,185.558282,41.188001,78.5633,188.792954,162.919089,193.082641,148.805326,35.069175,113.989381,98.866177
