accession_id,is_expressed,82bf32b4-0410-4426-9591-33210d995b98,7e17b2bf-91b2-4ea2-acc1-59e1537913ce,84d88e83-f246-45c8-a27c-5f146cb5a4b4,86723871-7176-4e6c-b9b2-dcf4acf99075,d4a3af62-0505-49f6-9f34-168bec5cb0d0,5ec7ec6c-20c8-48af-964c-54125c9313c2,803da4bd-a731-423b-b689-9c876dec117f,6c67482e-8a8a-4a5c-b8be-d573afb35d54,c5b7ba42-889d-4b7a-a810-298ae179e9c2,85fb34fe-c751-4806-87a9-419e9ed39dfc,8c9b3702-7326-45fc-8457-168dd4921afb,8e5ae73e-8a65-4060-874e-9c0ab8311fcb,f3533714-4d93-4e83-9f58-3c9dda0effba,f041b9ca-ace6-4425-a928-1ffbf2737243,38a63af6-4f43-4eea-aff2-a42b4118482a,ef076f15-36a4-4e8a-a624-8cdeb9c4fa2d,64efe402-841b-49bc-a370-02a24880dd19,3f0c486c-70c8-4537-a4cc-1ea2e302706d,42a6d971-d671-4860-835f-15d184d416b0,4ebd02b1-6eb1-4923-ad2f-5f4f107e6622,bf370830-8f1c-4ca5-a838-aba83f5a964f,268512d6-01f2-4afa-bfbc-55698afe6a1f,4be7af1f-00a3-400a-9584-04756550a692,9b71b456-248a-4ec9-8fd3-bc0c1ea2d852,485f5497-8ed6-4c98-a733-710988850a13,3a587350-9c2f-43ea-a607-1eec5356f34b,8790fe0b-8d3a-4f2c-8201-1231da243697,7734be37-d611-4651-83e4-7a9e78daf8a2,cea36b7b-8225-4b98-8371-66ee50eb0641,3ef8d2e0-14fe-438a-bbcd-d0382a4085de,c42db931-0c5e-42bc-9590-2edbe16d7e56,03589e93-5465-4e5b-91aa-be97a386e097,27c8aced-b610-4c85-b7ed-3b111b55ef79,29cea98e-c370-473d-af6d-393e87c1bd31,1c73346e-7c14-4b9e-b43d-4478181e0a4a,c786cbe6-bedd-4ff1-9c19-8026aaabc738,5074a94f-c14e-441f-b006-cd8895a550e5,3f5ad0e5-ab95-4c1e-8dfe-09cab1d1500c,afd9ffe6-e019-4ea3-ab5f-41a57f9db4de,1f7bbed4-631f-4f97-84a7-9f9bd9eba94c,3e75bf39-6c1e-460b-956e-3e999daa919c,f52a43ab-8cf4-4611-a13a-195778748214,80a3007d-3d24-48c8-bdb4-38605dcd408f,15a6e18f-00b4-4369-8588-294605e0e952,5e01bf11-33c4-4d86-a97e-54ef83a86a04,485f30ed-85f1-4402-ad3e-8e1ff3a75a36,ea6c109d-9823-4fa7-987d-78f2ed377312,308d2039-4905-49de-861a-c70f97669068,12c76136-cc83-42c0-886b-4b4ea167a0d7,7c3c4540-a63e-4737-a23d-a9c999c53f39,cd746011-8fd7-473d-84e7-f39ec60b6717,600fc778-f0e3-4362-ad0c-cdb64fc76e7b,af1bb8e0-9d0f-4e54-9ca4-9b311129a412,3b8748ee-d541-4219-ba20-437311ae376a,acad335c-080a-442e-84d8-235fa3116bc6,8ca0e4c1-92ab-4653-87e0-cdcc630d8db6
MIMAT0000062,1,36484.025999,56803.204359,28001.19711,72982.2341,32673.221604,37344.459135,36894.231078,31224.191645,40309.758235,29467.186554,95882.340547,75542.717038,34974.271019,20024.823655,36874.805784,33580.992506,60950.731706,28363.357614,30814.188321,30125.815394,59193.308785,50462.666577,33168.369121,38876.296528,40962.423188,52308.659185,39414.822014,49772.251876,55732.567177,45380.824626,25203.967104,27341.392529,43694.341296,35655.250612,59884.351813,68632.648873,26148.132014,53976.388945,57772.052943,33962.955381,40852.27035,36372.495345,57937.679213,69883.414205,74507.471066,69339.468378,49237.504237,46630.518467,26241.464915,42774.191206,67300.753721,24971.735995,46617.071136,34075.216144,25842.161047,53887.870976000006
MIMAT0000063,1,35428.216552,38314.543058,20595.921839,44608.604379,60758.814709,29805.432429,28213.942181,59460.454579000005,43015.427585,61389.499469,59430.771372,55313.546721,36848.376434,41622.626471,17894.759551,65878.723103,39626.374017,37502.331504,31762.103181,52526.752577,35355.458365,33894.608047,59749.001315,34126.342221,30188.380896,22513.920049,23329.937897,29968.296172,44530.70709,67871.429795,47420.24698,48491.499709,28704.015104,44664.690374,38190.612457,38061.511504,42168.501457,57018.620693,26368.317444,27987.030657,33835.964862999994,69094.960988,43292.98054899999,67042.0434,37692.858413,40896.129336,24960.587425,42494.692747,65323.34272,27989.287844,51189.705383,34456.836668,33649.60664,53581.654337,42691.911726000006,28167.720543000003
MIMAT0000064,1,6845.748479999999,9781.619335,4542.517238,10764.227956,11308.335523,6690.697156,8411.282316,13173.095575,8304.227628,4913.654776,12405.59566,9582.377434,5933.630912,5854.780079,5126.462866,12384.688021,9332.522029,9443.093941,7245.487593999999,8758.645939,8838.073816,9827.255078,11220.201019,8818.789975,6706.549924,7562.492038,6890.7688,9899.650564,1470.875027,15259.746296,8890.918310000001,10223.04071,10368.9562,8418.600839,9956.07735,8255.419359,8707.564106,11241.112678,7550.309275,7009.942177000001,9575.710562,11244.708977,9521.240079,12070.790488,8425.453399,11802.891345,4343.763557,10110.721933,8326.475477,7847.746337,12929.851656,5852.691852000001,7187.986934,8832.991707,6722.814362,8341.943452000001
MIMAT0000065,1,132.82682699999998,155.60897,183.759406,326.019688,121.484239,119.569568,120.988607,159.155601,212.875577,128.142856,260.109942,127.225643,142.55636,187.780429,250.761894,139.740651,158.75690699999998,85.830004,132.151653,183.305348,179.50545499999998,117.02186,153.984662,133.524064,202.499621,241.524284,145.271669,169.426362,203.944856,160.205734,124.414967,117.337626,160.259272,132.056484,157.130682,119.766528,112.819504,160.425616,295.165105,74.18486299999999,130.635976,178.185105,115.337501,225.031568,187.754912,109.187006,268.652332,229.3978,90.317184,82.831726,242.132054,299.83493300000004,177.91697499999998,104.658318,97.944684,282.411933
MIMAT0000066,1,1160.407424,861.356363,930.615577,1975.952021,699.7776319999999,819.027915,846.4912029999999,730.452959,1120.54374,696.2806449999999,1276.736828,1651.295034,779.84102,775.039552,1505.91953,815.269088,1203.951691,763.758936,745.216085,923.040132,1875.318037,1335.42596,650.280533,1096.283618,1718.434276,2283.4161000000004,736.240762,811.446768,1290.964076,1090.23903,716.68206,823.088938,854.370923,818.522516,890.561252,1743.625426,530.362272,829.451178,1848.128043,859.981873,997.385408,648.225121,1313.581953,1202.251983,1403.728189,1660.189649,1602.943183,1982.930139,684.10461,705.74869,1574.755134,1196.115687,1634.435688,912.994904,751.453391,1904.788146
MIMAT0000067,1,6210.347286000001,12099.373979,5422.427419,15202.992196,3092.875056,5728.941935,7308.226623,3698.190289,4434.32997,2147.0543230000003,20825.510186,15452.052641,7423.145028,2235.554008,11919.953034,3443.015906,15260.168973,4128.038897,3809.544629,3146.431662,15010.847419,12307.086017,3515.059851,6310.288765,9754.044207,20901.018355,10442.018696,11273.679742,10537.150921,8630.108952999999,3086.614415,2755.708668,6816.326564,4328.265098,11596.70654,16648.424172,2565.537627,9472.917935,12715.346369,5700.632081,6727.596861,3891.194033,14070.024529000002,12195.113483,22906.099027,16179.076639,17831.621556,8073.91386,2742.663774,7788.420908,11593.043578,3288.512135,12242.382226,3349.066117,3434.593627,13682.054671
MIMAT0000068,1,112.159275,64.389919,146.397535,109.396339,38.718661,84.596651,76.368695,46.321407,63.793331,65.77244,51.060314,51.300662,77.273542,127.222513,149.64822800000002,61.914793,46.055758,54.316302,66.075828,64.668638,84.217318,33.127512,58.713576,71.139869,110.62479,132.775129,63.494588,74.473125,227.292079,44.401589,41.903654,36.668008,58.770363,58.059316,67.011614,29.211347,59.727973,55.81718600000001,75.376291,60.121381,80.439336,63.286434,29.625342,50.007015,95.226822,32.830717,173.750541,99.424228,63.894602,58.206077,37.067130000000006,174.097703,84.016349,91.044225,50.604753,112.505567
MIMAT0000069,1,546.429907,263.772738,622.570765,676.521845,425.194836,260.87906,134.288774,338.502587,239.918403,478.929201,415.580583,224.843477,301.100353,3416.687824,1176.288988,450.352294,337.019775,296.68998700000003,155.00494600000002,496.878458,801.84376,215.974165,683.145364,232.025423,806.8734820000001,964.832612,397.273542,217.523592,677.756137,639.022874,456.62021,336.482897,198.835417,204.915235,254.181986,174.683864,532.574421,354.029283,602.658111,127.274503,186.44466,1215.959733,188.394172,359.425419,646.154477,177.335619,1381.977816,959.804844,490.499164,147.194217,315.070599,4083.2359,672.836809,254.413305,385.793231,996.018675
MIMAT0000070,1,205.667344,181.026044,361.800156,267.137805,120.063369,208.89229,170.75696899999997,167.469701,226.050286,189.757267,239.96058,143.935004,213.612491,309.914041,251.435985,131.78512,185.848526,89.929349,174.877376,154.925587,205.99635,101.103447,173.18658399999998,185.328479,187.812146,219.395095,120.071483,204.490792,275.35989,123.004402,161.566661,100.082093,226.278845,244.759863,275.440843,98.734356,123.327205,234.197981,206.404236,149.776073,130.012414,165.896477,153.016336,218.780691,263.70504700000004,106.69983,336.169525,289.941047,100.405805,166.782798,159.029943,343.896694,157.442402,548.818001,98.488821,282.411935
MIMAT0000071,1,100.565281,140.923549,117.804267,123.032145,131.785533,114.843499,151.450276,138.964221,105.397679,136.458912,176.306915,141.589828,198.068961,89.05575900000001,68.083202,84.397819,113.24298,72.25093,108.304739,135.850665,64.447992,62.813205,115.211544,118.566448,84.99984,77.136028,85.73005,132.810408,122.91626,87.60313500000001,141.69482499999998,69.022133,128.414539,147.994336,178.38954,82.66811700000001,109.501283,164.719246,86.295289,97.389606,118.476541,129.337809,130.293985,106.264908,185.056174,108.192135,144.005204,48.878951,134.995363,183.01333900000003,73.53640200000001,88.66086800000001,86.84042799999999,331.843441,98.488823,80.36112
