mirna_id,genome_assembly,chromosome,position_range,strand,cross_mapped,region_type,accession_id,read_count,reads_per_million,is_mirna_of_interest
hsa-let-7a-1,hg38,chr9,94175960-94175984,+,N,mature,MIMAT0000062,2,1.933279,1
hsa-let-7a-1,hg38,chr9,94175961-94175982,+,N,mature,MIMAT0000062,3,2.899918,1
hsa-let-7a-1,hg38,chr9,94175961-94175984,+,N,mature,MIMAT0000062,8,7.733115,1
hsa-let-7a-1,hg38,chr9,94175962-94175981,+,N,mature,MIMAT0000062,2,1.933279,1
hsa-let-7a-1,hg38,chr9,94175962-94175982,+,N,mature,MIMAT0000062,300,289.991803,1
hsa-let-7a-1,hg38,chr9,94175962-94175983,+,N,mature,MIMAT0000062,1182,1142.567703,1
hsa-let-7a-1,hg38,chr9,94175962-94175984,+,N,mature,MIMAT0000062,7658,7402.524089,1
hsa-let-7a-1,hg38,chr9,94175962-94175985,+,N,mature,MIMAT0000062,220,212.660655,1
hsa-let-7a-1,hg38,chr9,94175962-94175986,+,N,mature,MIMAT0000062,5,4.833197,1
hsa-let-7a-1,hg38,chr9,94175963-94175983,+,N,mature,MIMAT0000062,3,2.899918,1
hsa-let-7a-1,hg38,chr9,94175963-94175984,+,N,mature,MIMAT0000062,22,21.266066,1
hsa-let-7a-1,hg38,chr9,94175963-94175985,+,N,mature,MIMAT0000062,1,0.966639,1
hsa-let-7a-1,hg38,chr9,94175965-94175985,+,N,mature,MIMAT0000062,2,1.933279,1
hsa-let-7a-1,hg38,chr9,94175967-94175991,+,N,mature,MIMAT0000062,1,0.966639,1
hsa-let-7a-1,hg38,chr9,94175984-94176006,+,N,stemloop,,1,0.966639,0
hsa-let-7a-1,hg38,chr9,94175984-94176007,+,N,stemloop,,1,0.966639,0
hsa-let-7a-1,hg38,chr9,94175984-94176008,+,N,stemloop,,1,0.966639,0
hsa-let-7a-1,hg38,chr9,94176013-94176030,+,N,mature,MIMAT0004481,1,0.966639,1
hsa-let-7a-1,hg38,chr9,94176013-94176033,+,N,mature,MIMAT0004481,6,5.799836,1
