source,target,mirtarbase,correlation,qvalue
hsa-miR-182-5p,RAB27A,,-0.564,0.0
hsa-miR-18a-5p,ORAI3,MIRT050737,-0.545,0.0
hsa-miR-18a-5p,ZBTB4,,-0.532,0.001
hsa-miR-96-5p,RAB27A,,-0.496,0.004
hsa-miR-106b-5p,ATXN1,MIRT441140,-0.495,0.004
hsa-miR-106b-5p,ZNFX1,MIRT439176,-0.492,0.004
hsa-miR-221-3p,ERBB3,,-0.487,0.005
hsa-miR-96-5p,CCND2,MIRT053398,-0.485,0.005
hsa-miR-148a-3p,RTN4,,-0.482,0.005
hsa-miR-106b-5p,SMIM14,,-0.482,0.005
hsa-miR-29b-3p,NREP,MIRT048382,-0.48,0.005
hsa-miR-92a-3p,SERTAD3,MIRT049827,-0.477,0.005
hsa-miR-182-5p,LRRC8C,,-0.472,0.006
hsa-miR-23a-3p,RXRG,,-0.467,0.007
hsa-miR-30b-5p,COPS7B,MIRT023407,-0.467,0.007
hsa-miR-106b-5p,KLF3,MIRT093805,-0.466,0.007
hsa-miR-429,PLXNA4,,-0.463,0.008
hsa-miR-19a-3p,ZBTB4,MIRT054459,-0.461,0.008
hsa-miR-182-5p,KIF19,,-0.46,0.008
hsa-miR-96-5p,FCMR,,-0.46,0.008
hsa-miR-106b-5p,RASGRF2,,-0.457,0.008
hsa-miR-141-3p,TOM1L2,,-0.455,0.009
hsa-miR-96-5p,ARL4C,,-0.453,0.01
hsa-miR-182-5p,PPM1F,,-0.446,0.012
hsa-miR-96-5p,MSN,,-0.446,0.012
hsa-miR-26b-5p,DCBLD1,,-0.445,0.012
hsa-miR-106b-5p,MMP2,MIRT438153,-0.442,0.014
hsa-miR-29a-3p,NREP,,-0.44,0.015
hsa-miR-24-3p,SFXN5,,-0.438,0.015
hsa-miR-182-5p,IKZF1,,-0.435,0.015
hsa-miR-106a-5p,FYCO1,,-0.435,0.015
hsa-miR-106b-5p,TRIM8,MIRT125727,-0.433,0.015
hsa-miR-24-3p,SEMA4A,,-0.433,0.015
hsa-miR-125b-5p,TOMM40,,-0.433,0.015
hsa-miR-200b-3p,RND3,MIRT006511,-0.431,0.015
hsa-miR-429,CHRDL1,,-0.43,0.015
hsa-miR-25-3p,AXL,,-0.43,0.015
hsa-miR-96-5p,TACC1,,-0.43,0.015
hsa-miR-106b-5p,SYTL4,,-0.43,0.015
hsa-miR-22-3p,FBXO46,,-0.43,0.015
hsa-let-7e-5p,SLC5A6,MIRT501118,-0.43,0.015
hsa-miR-200b-3p,PDE7B,,-0.429,0.015
hsa-miR-125b-5p,KIF18B,,-0.429,0.015
hsa-miR-106b-5p,HEG1,,-0.429,0.015
hsa-let-7g-5p,FAM104A,MIRT574784,-0.429,0.015
hsa-miR-200b-3p,WIPF1,,-0.428,0.015
hsa-miR-92a-3p,KLF2,MIRT006372,-0.428,0.015
hsa-miR-196a-5p,ICOS,,-0.427,0.015
hsa-miR-155-5p,GNAS,MIRT020904,-0.427,0.015
hsa-miR-25-3p,ADAM19,,-0.427,0.015
hsa-miR-96-5p,HAS2,,-0.426,0.016
hsa-miR-24-3p,CAMK2B,,-0.425,0.016
hsa-miR-150-5p,TMEM134,MIRT644530,-0.424,0.016
hsa-miR-18a-5p,YPEL5,,-0.424,0.016
hsa-miR-29b-3p,ABHD5,,-0.423,0.016
hsa-miR-222-3p,TP53INP2,,-0.423,0.016
hsa-miR-106b-5p,ESR1,,-0.423,0.016
hsa-miR-106a-5p,ZNFX1,MIRT519580,-0.422,0.016
hsa-miR-200c-3p,MAF,,-0.422,0.016
hsa-miR-200a-3p,PAPLN,,-0.422,0.016
hsa-miR-15b-5p,FOXO1,MIRT052909,-0.421,0.016
hsa-miR-96-5p,KIAA0513,,-0.421,0.016
hsa-miR-106a-5p,RASGRF2,,-0.421,0.016
