accession_id,6dc4e6bf-a8f6-4280-af19-5ed501969f01,86e3408b-76a3-4834-b85e-4d2a07677304,a44df6fa-36a7-4500-90fd-d62baf48ef52,3abbb570-87ad-44c5-b66d-141f63b0ca8b,a4fc56a4-2493-451a-9b30-5aa38258bcce,be8e6554-07ae-4ec2-8be0-8598556467c9,d68e848a-5464-4471-88bd-3faf7e088d91,f3a7612e-35c3-43be-8f96-795874f8225c,0d003664-43ff-4eb5-b6c0-28ba7f26ee64,0f40e7fd-789f-49f7-a797-76bbe3c84f47,e83d4619-5e2b-4da7-8c05-93611ea76c85,f424bcaa-7212-4abc-8110-cff56b85c85a,86b5eaae-717c-4806-be60-7ffcab935908,265fa10b-9393-4c95-99a0-df47069deaac,ff79f645-81f1-4a3b-ae72-adc169f30143,ed76d786-d744-4067-b288-5fe2dc06a310,52fed7ff-b663-4fc1-a294-57776659175a,8f6d8863-21b1-4469-b233-21bb7c9b954c,41cd380c-ab97-451e-80b7-3d9653a1e909,e351b00e-5462-4be5-a57c-162a9b7b996e,ddde9a13-c70c-464c-8066-65a88ab92dc7,e4b1e8c9-5921-436d-8f6a-9af5b5baea8e,8ecef704-ed0f-4700-a34e-46a174033332,02fc7dd7-7e17-4930-8424-52173c33b29b,e896f815-d8df-42cc-bdf6-04deb50f6c1a,37fb952c-2a89-4903-98b9-6f6d36743218,85236a1e-2adb-459b-b868-b9486d9a285e,557f6cb1-95e3-4c8c-b253-538a415b0d07,d0982681-8799-412d-a868-81078e4a6560,0f7a5400-3b1d-42d3-b47a-2979084bf616,7e975ee3-173d-4315-aacf-c201122d9868,81ec1c9c-36c0-48e8-929a-8273d1d3febe,eaf6af76-2b28-4128-9371-a3d928d72370,8334ded1-3815-4766-8861-6fa8313fab6b,7f06d0ce-d5ac-4a70-97ea-0ebb8e8b0f67,a4c3a7ab-2ddd-415d-a222-fd3dd1c01231,aef6b437-1da5-4f69-970b-977cdc9cd5c5,3be37b85-90eb-4f47-909a-8be730172d92,0895e2a3-5571-4ee2-b715-a424d0c9fec4,475e779f-c6b7-4f7c-9616-f2c47b9b97a5,f1d9de11-d45a-4443-ac6a-1f58888b6fcc,f4987886-cc3e-4423-84ae-84911abcd473,d7438c8a-6e39-4139-92e7-2aa05bae5d40,91b36078-362b-4909-ac90-1b2d1ea4a545,415d3af2-fc41-43d5-b185-6a09946b9e84,a00a04b4-8de5-4f18-9dc2-531e21aa5167,dc300e50-f729-4d0e-8a33-606e95d91c95,585f73db-7dc1-49d8-a601-f8d33b318a95,646eb67c-2e86-4f89-867f-78c31eff5fe0,b70a538a-a0d7-4a0f-ab48-fd7b4457bfd3,aafbf8fb-290d-408e-b104-241b7d492895,3d4b6861-2763-451d-ae0a-6a5adfc591ec,8ec31b5f-bb8d-4c61-aac5-3204b66e81e2,a576843f-a9f7-47cf-a52f-7f01066fa160,54fb48bb-ab47-4870-beb0-5713d15d8b58,ba7c9ae6-bb71-4bb4-8f3d-f2041f62896f
MIMAT0000062,19169.819454,24930.09879,8118.425479,16161.456276,14824.353426,21817.053575,58821.695754,25629.884947,24718.69454,25320.792223,13239.78704,38160.351396,31064.226887,17711.122479,16840.250251,15904.149594,14186.483579,28352.078819,9565.598509,19730.470273,17565.085662,22754.779044,16137.224216999999,23924.881932,31286.210235,17622.409534,15150.587603,31004.066221,25632.674849,15759.395949,19375.687452,18054.584926,22471.949627,14041.214442,19331.165494,11537.352611,22065.237089,70230.723396,25797.437436,15431.883104,28742.524204999998,28099.225195,37593.978482,15115.208847,10253.648793,10485.607393999999,16514.012091,15666.708438,16135.331803000001,22814.68746,19471.623333,22059.832868,20234.954324,49595.64662,33263.158276,27074.674356
MIMAT0000063,24660.280969,14890.696676,9771.711485,50108.428557,25274.239059,41472.839074,67261.221948,33458.726161,47383.139152,22362.177216,7351.9054750000005,13173.595714,39894.82507,21215.611511000003,22030.385091,34254.979335,14367.252934,15388.692256,12534.281132,18121.258125,22203.528435,9674.167844,45310.583756,10397.727271,47939.586985,34397.224425,12172.76777,19417.290191,19010.081339,26279.870034,25172.273112,25439.041693,17199.069044,12561.389892000001,18261.693139,22324.830877,10743.904855,51367.370171,24131.832673,17647.122499,38870.566686000006,26342.793880999998,47755.562769,13397.299029999998,11692.849110000001,5914.295798,22388.78462,13116.343474000001,14305.249233,9829.301237,14162.717028,25447.707931999998,13464.402105,40112.796194999995,43144.419189,29163.474618
MIMAT0000064,715.0403309999999,1907.773847,622.0284,1743.32834,699.163506,593.528055,1679.5511209999997,1477.901734,2642.5851310000003,1691.7274109999998,734.193339,2164.0958100000003,1363.319296,3721.5642319999997,2720.477578,2006.598312,5423.515224,2089.84762,1737.662315,3229.396185,1746.789283,1283.980883,2568.41184,1911.157021,2101.57117,1917.0617089999998,3756.163343,2103.246751,2224.804492,715.882293,1000.095485,2449.306596,1655.6335060000001,2097.369159,373.135557,1559.1265199999998,1403.664926,2056.951058,1665.604764,3646.140355,2228.670888,3692.9780109999997,2708.892834,1433.200981,605.703925,574.8814130000001,2181.490022,1726.400897,2516.029904,2319.374513,2022.264449,430.730313,2937.636293,2829.107836,2083.811902,1800.0922070000001
MIMAT0000065,279.277532,274.01205999999996,107.081644,547.298091,284.256922,563.878126,211.97007399999998,310.11708400000003,148.930044,481.654721,99.09740199999999,150.445163,177.196199,192.046577,321.94037000000003,408.751507,296.791995,200.662134,70.464813,391.331136,245.99833600000002,219.91492200000002,239.498211,112.89846200000001,119.680757,389.85154100000005,704.881875,510.237035,210.106462,122.130133,199.027062,212.578821,170.57509299999998,308.13827200000003,358.319881,93.963846,146.469384,385.174693,154.380349,201.74325799999997,644.2955069999999,169.087911,405.600397,422.567854,346.54330500000003,132.002719,169.74511700000002,677.776892,371.888437,197.306479,214.954722,307.952049,262.799781,79.02862300000001,360.51423,336.74352100000004
MIMAT0000066,402.069798,595.515387,1097.416332,851.042959,1375.369408,654.416304,1644.0149629999999,2203.123459,1131.129825,1216.856559,1192.9083640000001,1930.070001,894.648193,845.678785,916.960014,838.632773,839.969147,1049.774422,293.133626,976.166704,1395.5546,954.8544800000001,673.072557,512.101535,884.721378,751.706562,823.819761,847.33746,909.833232,448.57860300000004,810.9887740000001,884.859338,774.621942,964.992703,621.7096859999999,319.538296,1394.275863,1948.436013,1979.548492,996.90693,1170.92028,991.2472489999999,1568.896837,260.400365,670.680796,972.802654,240.36174299999996,993.5664990000001,392.35119799999995,1382.782758,676.552823,224.623846,767.337634,2008.1450610000002,787.329933,1583.189762
MIMAT0000067,2513.497789,9787.885908999999,716.151118,1820.797212,2238.575454,2905.693099,9236.907728,1586.1196730000001,3703.55783,4883.537926,1553.149239,8177.401849,5492.761123,3352.3919889999997,3724.301773,2954.5229310000004,2796.275977,7859.522209,1115.458007,4831.626206,1957.26198,11195.668778000001,1390.741331,5577.774494,7977.094598000001,2875.942519,4220.545822,9234.33486,9323.199643,1734.401522,2287.261152,3352.766583,4465.726274,3149.857916,2153.7603839999997,1981.810798,1543.561967,16844.006396,5051.236136,3075.354547,3488.326479,7212.579647,5019.089113,2009.278513,2855.2479710000002,1126.805826,2582.977014,3683.7901859999997,4056.964767,8067.460803,3422.374934,6384.87243,6141.530258000001,6694.644652,8041.395176999999,6326.321307
MIMAT0000068,138.515666,129.66363,149.368661,146.020467,87.65632,216.550379,312.344139,87.22043000000001,235.087918,375.656763,117.17177199999999,178.73399799999999,234.014544,121.773894,119.438249,119.492418,109.939055,105.18168,45.097481,108.721566,101.88487,99.364544,45.422076000000004,42.060211,71.006766,57.392866000000005,274.606587,102.04740799999999,91.705658,127.89098999999999,194.686908,102.303559,125.733187,154.703167,153.095324,94.269916,157.736259,209.50924799999999,101.809586,140.72822299999999,189.68779999999998,99.85989000000001,123.40607800000001,106.55769299999999,100.079317,157.82934,83.546426,129.733206,258.898408,151.459331,102.45999,123.985923,123.541046,130.886592,113.865564,132.716564
MIMAT0000069,827.350329,1011.688774,1739.906193,1578.3586500000001,1210.074631,1755.16994,768.7032429999999,1347.071087,961.27573,1785.005615,1225.9408310000001,815.232762,1234.9162589999999,1300.0446180000001,1383.854986,1695.480854,677.885089,430.93852400000003,1151.39506,525.653804,1561.787809,370.006109,666.4657090000001,256.050763,531.978104,695.713522,1541.819783,332.89622099999997,428.064435,1689.850906,1839.60527,1260.858131,633.941455,2008.6050470000002,1012.953294,1289.477818,1216.822572,1136.184766,450.9239,804.020693,1660.893507,293.453292,901.8136480000001,401.922302,1274.891,3693.206541,718.432956,780.930613,1131.679645,374.145481,622.682108,723.787948,439.152269,348.690064,523.925726,748.263913
MIMAT0000070,283.02119799999997,224.958591,178.01470600000002,293.712926,584.3754680000001,346.79828200000003,484.413965,143.752189,160.007485,1182.937211,440.640653,286.74591,552.1330829999999,169.905869,385.459803,690.724471,230.741656,536.630796,101.46933,303.223446,391.45239300000003,196.640344,250.234336,112.160565,120.25339299999999,130.183818,911.274087,137.20980899999998,216.387674,412.47724199999993,249.868865,241.808407,442.264288,467.913676,1198.9723410000001,206.59803399999998,255.38251499999998,906.799005,322.828929,471.390342,1854.439365,385.348899,186.403587,420.902891,356.99935700000003,446.70485399999995,127.640371,412.61487900000003,1277.58803,970.1584170000001,333.78718399999997,785.7809090000001,697.551091,482.790388,179.80669699999999,207.988645
MIMAT0000071,89.099266,130.28851600000002,77.75354999999999,68.551594,113.11839400000001,114.364014,117.206981,22.612703,38.155631,230.65155800000002,86.009067,75.222581,193.246577,83.74963499999998,152.555219,184.33891500000001,109.939056,173.090238,31.004517999999997,134.322666,59.656271,135.469979,76.804598,76.003541,83.032104,68.591474,153.045073,72.61800500000001,135.67412900000002,166.680749,83.082948,146.14794,233.00206,59.598762,265.03599199999996,78.96636,91.073912,315.338279,149.197316,103.331913,308.644556,100.472527,45.737916999999996,77.254329,91.116993,85.13218800000001,58.018351,94.293891,294.48582000000005,223.504851,125.69833899999999,360.68631799999997,242.05242799999996,380.53523599999994,149.178302,99.04221299999999
