miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175961:+	2	0.208676	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175961:+	1	0.104338	N	precursor
hsa-let-7a-1	hg38:chr9:94175959-94175981:+	1	0.104338	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175959-94175982:+	1	0.104338	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175959-94175983:+	3	0.313014	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175979:+	3	0.313014	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175981:+	1	0.104338	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	41	4.277859	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	83	8.660056	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	2	0.208676	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175977:+	7	0.730366	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175978:+	9	0.939042	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175979:+	69	7.199323	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	50	5.216901	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	264	27.545237	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2353	245.507361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8847	923.078464	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	522	54.464447	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	11	1.147718	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175980:+	605	63.124502	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	5592	583.458209	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	39527	4124.168922	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	159254	16616.247057	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	9314	971.804319	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	434	45.282701	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	0.417352	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175988:+	1	0.104338	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175991:+	3	0.313014	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175980:+	23	2.399774	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	271	28.275603	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1862	194.277393	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	7336	765.423716	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	414	43.195940	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	18	1.878084	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175980:+	8	0.834704	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175981:+	107	11.164168	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	647	67.506699	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2785	290.581386	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	184	19.198196	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175985:+	10	1.043380	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175981:+	34	3.547493	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	342	35.683603	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1380	143.986468	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	100	10.433802	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	4	0.417352	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175981:+	31	3.234479	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	268	27.962589	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1162	121.240779	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	85	8.868732	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	8	0.834704	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175983:+	567	59.159657	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	28	2.921465	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	4	0.417352	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175987:+	1	0.104338	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.104338	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.104338	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175968-94175984:+	1	0.104338	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	6	0.626028	N	stemloop
hsa-let-7a-1	hg38:chr9:94176012-94176032:+	1	0.104338	N	mature,MIMAT0004481
